dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/TimeSeries,3,1050,        if (start < 0) {,1,1,0,1,3,0,0,0,0,2,16,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1071,        return copy;,1,0,0,0,0,0,0,0,0,1,12,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1056,        TimeSeries copy = (TimeSeries) super.clone();,2,0,0,2,4,0,0,2,0,4,45,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,        copy.data = new java.util.ArrayList();,5,0,0,1,2,0,0,0,0,6,38,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1053,        if (end < start) {,2,1,0,1,3,0,0,0,0,3,18,4,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1058,        if (this.data.size() > 0) {,1,1,0,2,5,0,1,0,0,3,27,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1060,                TimeSeriesDataItem item,1,0,0,0,0,0,0,1,0,2,23,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1062,                TimeSeriesDataItem clone = (TimeSeriesDataItem) item.clone();,1,0,0,2,4,0,2,2,0,5,61,8,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1064,                    copy.add(clone);,0,0,0,1,2,0,3,0,0,3,16,11,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1059,            for (int index = start; index <= end; index++) {,5,1,0,1,3,0,0,0,0,7,48,6,1,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,564,"        add(item, true);",0,0,0,1,2,0,2,0,0,3,16,5,0.478260869565253,0
defect4j,chart,org/jfree/data/general/Series,3,244,        clone.listeners = new EventListenerList();,2,0,0,1,2,0,0,1,0,4,42,4,0.254658385092921,0
defect4j,chart,org/jfree/data/general/Series,3,245,        clone.propertyChangeSupport = new PropertyChangeSupport(clone);,3,0,0,1,2,0,0,1,0,5,63,4,0.254658385092921,0
defect4j,chart,org/jfree/data/general/Series,3,246,        return clone;,1,0,0,0,0,0,0,0,0,1,13,4,0.254658385092921,0
defect4j,chart,org/jfree/data/general/Series,3,243,        Series clone = (Series) super.clone();,2,0,0,2,4,0,0,2,0,4,38,4,0.254658385092921,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,360,        return this.maxY;,1,0,0,0,0,0,0,0,0,1,17,5,0.146245059288615,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,345,        return this.minY;,1,0,0,0,0,0,0,0,0,1,17,5,0.146245059288615,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,653,"        add(period, value, true);",0,0,0,1,2,0,3,0,0,4,25,5,0.023842917251059,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,667,"        add(item, notify);",0,0,0,1,2,0,3,0,0,3,18,5,0.023842917251059,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,666,"        TimeSeriesDataItem item = new TimeSeriesDataItem(period, value);",3,0,0,1,2,0,0,2,0,5,64,4,0.023842917251059,0
defect4j,chart,org/jfree/data/time/Year,3,171,        return this.year;,1,0,0,0,0,0,0,0,0,1,17,5,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,367,        return result;,1,0,0,0,0,0,0,0,0,1,14,4,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,350,            result = this.year - y.getYear();,2,1,0,1,2,0,2,0,0,6,33,6,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,349,            Year y = (Year) o1;,2,0,0,1,2,0,0,2,0,4,19,6,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,348,        if (o1 instanceof Year) {,1,0,0,1,3,0,0,1,0,2,25,5,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,253,        return this.year;,1,0,0,0,0,0,0,0,0,1,17,5,0.014492753623303,0
defect4j,chart,org/jfree/data/time/Year,3,269,"        calendar.set(Calendar.MILLISECOND, 0);",2,0,0,1,2,0,2,0,0,4,38,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,268,"        calendar.set(this.year, Calendar.JANUARY, 1, 0, 0, 0);",3,0,0,1,2,0,2,0,0,5,54,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,272,        return calendar.getTime().getTime();,0,0,0,2,4,0,3,0,0,3,36,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,287,"        calendar.set(this.year, Calendar.DECEMBER, 31, 23, 59, 59);",3,0,0,1,2,0,2,0,0,5,59,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,680,"        add(period, value, true);",0,0,0,1,2,0,3,0,0,4,25,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,119,        this.year = (short) year;,2,0,0,1,2,0,0,0,0,3,25,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,114,    public Year(int year) {,2,0,0,1,3,1,0,0,0,3,23,2,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,115,        if ((year < Year.MINIMUM_YEAR) || (year > Year.MAXIMUM_YEAR)) {,6,3,0,3,7,0,0,0,0,9,63,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,288,"        calendar.set(Calendar.MILLISECOND, 999);",2,0,0,1,2,0,2,0,0,4,40,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,212,        this.lastMillisecond = getLastMillisecond(calendar);,1,0,0,1,2,0,2,0,0,4,52,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,211,        this.firstMillisecond = getFirstMillisecond(calendar);,1,0,0,1,2,0,2,0,0,4,54,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,291,        return calendar.getTime().getTime();,0,0,0,2,4,0,3,0,0,3,36,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,121,"        this(period, new Double(value));",2,0,0,2,4,0,0,1,0,3,32,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/Year,3,120,        peg(Calendar.getInstance());,0,0,0,2,4,0,3,0,0,3,28,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,694,"        add(item, notify);",0,0,0,1,2,0,3,0,0,3,18,5,0.01292596944772,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,693,"        TimeSeriesDataItem item = new TimeSeriesDataItem(period, value);",3,0,0,1,2,0,0,2,0,5,64,4,0.01292596944772,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,881,                    > this.maximumItemAge) {,1,0,0,0,2,0,0,0,0,1,24,8,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,429,        return (TimeSeriesDataItem) this.data.get(index);,1,0,0,2,4,0,2,1,0,4,49,5,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,603,            RegularTimePeriod last = getTimePeriod(getItemCount() - 1);,1,1,0,2,4,0,2,1,0,5,59,6,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,463,        return getRawDataItem(index).getPeriod();,0,0,0,2,4,0,3,0,0,3,41,5,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1296,"                return Math.max(a, b);",0,0,0,1,2,0,4,0,0,4,22,9,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,584,        else if (!this.timePeriodClass.equals(c)) {,1,0,0,2,5,0,2,0,0,4,43,5,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1269,            if (Double.isNaN(b)) {,0,0,0,2,5,0,3,0,0,3,22,7,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,885,            if (removed) {,1,0,0,1,3,0,0,0,0,1,14,6,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,605,                this.data.add(item);,1,0,0,1,2,0,2,0,0,3,20,9,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,604,            if (item.getPeriod().compareTo(last) > 0) {,0,1,0,3,7,0,4,0,0,5,43,6,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,606,                added = true;,1,0,0,0,0,0,0,0,0,3,13,8,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,878,            long latest = getTimePeriod(getItemCount() - 1).getSerialIndex();,1,1,0,3,6,0,3,0,0,5,65,7,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,879,            boolean removed = false;,1,0,0,0,0,0,0,0,0,2,24,7,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1273,"                return Math.min(a, b);",0,0,0,1,2,0,4,0,0,4,22,9,0.006211180124243,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1292,            if (Double.isNaN(b)) {,0,0,0,2,5,0,3,0,0,3,22,7,0.006211180124243,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,70,"        this(source, null);",1,0,0,1,2,0,0,0,0,1,19,4,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,638,                fireSeriesChanged();,0,0,0,1,2,0,1,0,0,1,20,9,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,634,"            removeAgedItems(false);  // remove old items if necessary, but",0,0,0,1,2,0,1,0,0,2,62,7,0.005055611729112,0
defect4j,chart,org/jfree/data/general/Series,3,329,        for (int i = listenerList.length - 2; i >= 0; i -= 2) {,5,2,0,1,3,0,0,0,0,8,55,4,0.005055611729112,0
defect4j,chart,org/jfree/data/general/Series,3,328,        Object[] listenerList = this.listeners.getListenerList();,2,0,0,2,4,0,1,1,0,4,57,4,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,629,            if (getItemCount() > this.maximumItemCount) {,1,1,0,2,5,0,1,0,0,3,45,6,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,627,            updateBoundsForAddedItem(item);,0,0,0,1,2,0,2,0,0,2,31,7,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,626,        if (added) {,1,0,0,1,3,0,0,0,0,1,12,4,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,111,        this.selected = false;,1,0,0,0,0,0,0,0,0,3,22,4,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,106,        if (period == null) {,1,1,0,1,3,0,0,0,0,2,21,4,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1289,            return b;,1,0,0,0,0,0,0,0,0,1,9,6,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1288,        if (Double.isNaN(a)) {,0,0,0,2,5,0,3,0,0,3,22,5,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,141,        return this.value;,1,0,0,0,0,0,0,0,0,1,18,5,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,637,            if (notify) {,1,0,0,1,3,0,0,0,0,1,13,6,0.005055611729112,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,130,        return this.period;,1,0,0,0,0,0,0,0,0,1,19,5,0.005055611729112,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,82,        super(source);,1,0,0,1,2,0,0,0,0,1,14,4,0.005055611729112,0
defect4j,chart,org/jfree/data/event/SeriesChangeEvent,3,83,        this.summary = summary;,2,0,0,0,0,0,0,0,0,3,23,4,0.005055611729112,0
