dataset,project,pPath,pId,codeLine,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,5,0,0,1,2,0,0,0,0,6,38,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1058,1,1,0,2,5,0,1,0,0,3,27,4,1,1
defect4j,chart,org/jfree/data/time/Week,8,175,3,0,0,2,4,0,2,0,0,5,69,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,9,947,1,0,0,1,3,0,0,0,0,1,17,4,1,1
defect4j,chart,org/jfree/data/time/TimeSeries,9,944,1,1,0,1,3,0,0,0,0,2,19,4,1,1
defect4j,chart,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,10,65,1,1,0,0,0,0,0,0,0,3,32,4,1,1
defect4j,chart,org/jfree/chart/util/ShapeUtilities,11,275,1,0,0,1,2,0,2,1,0,4,50,4,1,1
defect4j,chart,org/jfree/chart/block/BorderArrangement,13,454,1,0,0,0,1,0,0,2,0,3,53,6,1,1
defect4j,chart,org/jfree/data/category/DefaultIntervalCategoryDataset,16,207,1,0,0,0,0,0,0,0,0,2,23,8,1,1
defect4j,chart,org/jfree/data/category/DefaultIntervalCategoryDataset,16,208,1,0,0,0,0,0,0,0,0,2,25,8,1,1
defect4j,chart,org/jfree/data/category/DefaultIntervalCategoryDataset,16,338,4,1,0,2,5,0,0,0,0,5,54,4,0.004055881,1
defect4j,chart,org/jfree/data/DefaultKeyedValues,18,318,2,1,0,2,5,0,1,0,0,4,31,4,1,1
defect4j,chart,org/jfree/data/DefaultKeyedValues,18,334,1,1,0,1,3,0,0,0,0,2,16,4,1,1
defect4j,chart,org/jfree/data/DefaultKeyedValues2D,18,458,0,0,0,1,2,0,3,0,0,3,31,7,0.117384844,1
defect4j,chart,org/jfree/data/DefaultKeyedValues2D,18,455,2,0,0,1,2,0,1,1,0,4,41,4,0.117384844,1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,19,698,1,0,0,1,2,0,2,0,0,3,37,5,1,1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,19,973,2,0,0,1,2,0,2,0,0,4,42,5,1,1
defect4j,chart,org/jfree/chart/renderer/GrayPaintScale,24,126,4,3,0,2,6,0,0,0,0,7,59,5,1,1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,468,1,1,0,1,3,0,0,0,1,2,42,6,1,1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,467,2,1,0,1,2,1,2,0,0,6,44,6,1,1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,1,471,1,1,0,1,3,0,0,0,1,2,43,6,1,1
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,77,1,0,0,1,2,1,3,1,0,6,50,6,1,1
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,268,0,0,0,3,6,1,6,0,0,7,82,9,1,1
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,250,2,0,0,0,0,0,0,0,0,3,31,5,0.079069767,1
defect4j,lang,org/apache/commons/lang3/StringUtils,14,788,0,0,0,1,2,1,3,0,0,3,23,5,1,1
defect4j,lang,org/apache/commons/lang3/time/DateUtils,21,262,4,8,0,2,5,0,4,0,0,16,68,5,1,1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1413,2,1,0,0,0,0,0,0,0,4,29,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1682,1,1,1,2,5,0,0,0,0,4,27,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1685,0,0,0,0,0,0,0,0,0,1,13,10,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1382,1,0,0,0,0,0,0,0,0,1,9,10,0.217391304,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1455,10,7,0,1,3,0,0,0,0,17,111,10,0.142857143,1
