dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/TimeSeries,3,564,"        add(item, true);",0,0,0,1,2,0,2,0,0,3,16,5,0.47826087,0
defect4j,chart,org/jfree/data/general/Series,3,244,        clone.listeners = new EventListenerList();,2,0,0,1,2,0,0,1,0,4,42,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,245,        clone.propertyChangeSupport = new PropertyChangeSupport(clone);,3,0,0,1,2,0,0,1,0,5,63,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,246,        return clone;,1,0,0,0,0,0,0,0,0,1,13,4,0.254658385,0
defect4j,chart,org/jfree/data/general/Series,3,243,        Series clone = (Series) super.clone();,2,0,0,2,4,0,0,2,0,4,38,4,0.254658385,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,360,        return this.maxY;,1,0,0,0,0,0,0,0,0,1,17,5,0.146245059,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,653,"        add(period, value, true);",0,0,0,1,2,0,3,0,0,4,25,5,0.023842917,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,667,"        add(item, notify);",0,0,0,1,2,0,3,0,0,3,18,5,0.023842917,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,666,"        TimeSeriesDataItem item = new TimeSeriesDataItem(period, value);",3,0,0,1,2,0,0,2,0,5,64,4,0.023842917,0
defect4j,chart,org/jfree/data/time/Year,3,367,        return result;,1,0,0,0,0,0,0,0,0,1,14,4,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,350,            result = this.year - y.getYear();,2,1,0,1,2,0,2,0,0,6,33,6,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,349,            Year y = (Year) o1;,2,0,0,1,2,0,0,2,0,4,19,6,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,348,        if (o1 instanceof Year) {,1,0,0,1,3,0,0,1,0,2,25,5,0.014492754,0
defect4j,chart,org/jfree/data/time/Year,3,269,"        calendar.set(Calendar.MILLISECOND, 0);",2,0,0,1,2,0,2,0,0,4,38,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,268,"        calendar.set(this.year, Calendar.JANUARY, 1, 0, 0, 0);",3,0,0,1,2,0,2,0,0,5,54,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,272,        return calendar.getTime().getTime();,0,0,0,2,4,0,3,0,0,3,36,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,287,"        calendar.set(this.year, Calendar.DECEMBER, 31, 23, 59, 59);",3,0,0,1,2,0,2,0,0,5,59,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,119,        this.year = (short) year;,2,0,0,1,2,0,0,0,0,3,25,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,114,    public Year(int year) {,2,0,0,1,3,1,0,0,0,3,23,2,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,115,        if ((year < Year.MINIMUM_YEAR) || (year > Year.MAXIMUM_YEAR)) {,6,3,0,3,7,0,0,0,0,9,63,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,288,"        calendar.set(Calendar.MILLISECOND, 999);",2,0,0,1,2,0,2,0,0,4,40,5,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,212,        this.lastMillisecond = getLastMillisecond(calendar);,1,0,0,1,2,0,2,0,0,4,52,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,211,        this.firstMillisecond = getFirstMillisecond(calendar);,1,0,0,1,2,0,2,0,0,4,54,4,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeriesDataItem,3,121,"        this(period, new Double(value));",2,0,0,2,4,0,0,1,0,3,32,4,0.012925969,0
defect4j,chart,org/jfree/data/time/Year,3,120,        peg(Calendar.getInstance());,0,0,0,2,4,0,3,0,0,3,28,5,0.012925969,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,881,                    > this.maximumItemAge) {,1,0,0,0,2,0,0,0,0,1,24,8,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,429,        return (TimeSeriesDataItem) this.data.get(index);,1,0,0,2,4,0,2,1,0,4,49,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,603,            RegularTimePeriod last = getTimePeriod(getItemCount() - 1);,1,1,0,2,4,0,2,1,0,5,59,6,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,463,        return getRawDataItem(index).getPeriod();,0,0,0,2,4,0,3,0,0,3,41,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1296,"                return Math.max(a, b);",0,0,0,1,2,0,4,0,0,4,22,9,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,584,        else if (!this.timePeriodClass.equals(c)) {,1,0,0,2,5,0,2,0,0,4,43,5,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1269,            if (Double.isNaN(b)) {,0,0,0,2,5,0,3,0,0,3,22,7,0.00621118,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,885,            if (removed) {,1,0,0,1,3,0,0,0,0,1,14,6,0.00621118,0
