dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,63,"public class ImageMapUtilities {
",2,0,0,0,1,1,0,0,0,3,32,1,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,79,"        ImageMapUtilities.writeImageMap(writer, name, info,
",0,0,0,0,1,0,10,0,0,10,51,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,83,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,102,"        ToolTipTagFragmentGenerator toolTipTagFragmentGenerator = null;
",2,0,0,0,0,0,0,2,0,4,63,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,103,"        if (useOverLibForToolTips) {
",2,0,0,1,3,0,0,0,0,2,28,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,104,"            toolTipTagFragmentGenerator 
",2,0,0,0,0,0,0,0,0,2,27,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,108,"            toolTipTagFragmentGenerator 
",2,0,0,0,0,0,0,0,0,2,27,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,111,"        ImageMapUtilities.writeImageMap(writer, name, info, 
",0,0,0,0,1,0,10,0,0,10,51,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,115,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,138,"        writer.println(ImageMapUtilities.getImageMap(name, info, 
",0,0,0,0,2,0,12,0,0,12,56,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,140,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,152,"        return ImageMapUtilities.getImageMap(name, info,
",0,0,0,0,1,1,8,0,0,8,48,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,176,"        StringBuffer sb = new StringBuffer();
",2,0,0,1,2,0,0,4,0,6,37,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,177,"        sb.append(""<map id=\"""" + htmlEscape(name) + ""\"" name=\"""" 
",0,1,0,1,3,0,8,0,0,11,56,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,179,"        sb.append(StringUtilities.getLineSeparator());
",0,0,0,2,4,0,8,0,0,8,46,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,180,"        EntityCollection entities = info.getEntityCollection();
",2,0,0,1,2,0,4,2,0,8,55,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,181,"        if (entities != null) {
",2,1,0,1,3,0,0,0,0,3,23,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,182,"            int count = entities.getEntityCount();
",2,0,0,1,2,0,4,0,0,6,38,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,183,"            for (int i = count - 1; i >= 0; i--) {
",8,2,0,1,3,0,0,0,0,11,38,6,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,184,"                ChartEntity entity = entities.getEntity(i);
",2,0,0,1,2,0,6,2,0,10,43,8,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,185,"                if (entity.getToolTipText() != null 
",0,1,0,1,3,0,4,0,0,5,35,9,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,187,"                    String area = entity.getImageMapAreaTag(
",2,0,0,0,1,0,4,2,0,8,40,10,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,190,"                    if (area.length() > 0) {
",0,1,0,2,5,0,4,0,0,5,24,10,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,191,"                        sb.append(area);
",0,0,0,1,2,0,6,0,0,6,16,13,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,192,"                        sb.append(StringUtilities.getLineSeparator());
",0,0,0,2,4,0,8,0,0,8,46,13,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,197,"        sb.append(""</map>"");
",0,0,0,1,2,0,4,0,0,5,20,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,198,"        return sb.toString();
",0,0,0,1,2,1,4,0,0,4,21,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,213,"        if (input == null) {
",2,1,0,1,3,0,0,0,0,3,20,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,214,"            throw new IllegalArgumentException(""Null 'input' argument."");
",0,0,0,1,2,0,0,2,0,3,61,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,216,"        StringBuffer result = new StringBuffer();
",2,0,0,1,2,0,0,4,0,6,41,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,217,"        int length = input.length();
",2,0,0,1,2,0,4,0,0,6,28,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,218,"        for (int i = 0; i < length; i++) {
",8,1,0,1,3,0,0,0,0,10,34,4,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,219,"            char c = input.charAt(i);
",2,0,0,1,2,0,6,0,0,8,25,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,220,"            if (c == '&') {
",2,1,0,1,3,0,0,0,0,4,15,6,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,221,"                result.append(""&amp;"");
",0,0,0,1,2,0,4,0,0,5,23,9,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,223,"            else if (c == '\""') {
",2,1,0,1,3,0,0,0,0,4,21,7,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,224,"                result.append(""&quot;"");
",0,0,0,1,2,0,4,0,0,5,24,10,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,226,"            else if (c == '<') {
",2,1,0,1,3,0,0,0,0,4,20,8,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,227,"                result.append(""&lt;"");
",0,0,0,1,2,0,4,0,0,5,22,11,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,229,"            else if (c == '>') {
",2,1,0,1,3,0,0,0,0,4,20,9,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,230,"                result.append(""&gt;"");
",0,0,0,1,2,0,4,0,0,5,22,12,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,232,"            else if (c == '\'') {
",2,1,0,1,3,0,0,0,0,4,21,10,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,233,"                result.append(""&#39;"");
",0,0,0,1,2,0,4,0,0,5,23,13,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,235,"            else if (c == '\\') {
",2,1,0,1,3,0,0,0,0,4,21,11,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,236,"                result.append(""&#092;"");
",0,0,0,1,2,0,4,0,0,5,24,14,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,239,"                result.append(c);
",0,0,0,1,2,0,6,0,0,6,17,14,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/ImageMapUtilities,10,242,"        return result.toString();
",0,0,0,1,2,1,4,0,0,4,25,5,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator,10,55,"        super();
",0,0,0,1,2,0,0,0,0,0,8,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator,10,56,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator,10,66,"        return "" onMouseOver=\""return overlib('"" 
",0,0,0,0,1,2,0,0,0,1,40,6,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,10,54,"        super();
",0,0,0,1,2,0,0,0,0,0,8,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,10,55,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,chart,org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator,10,65,"        return "" title=\"""" + toolTipText
",2,1,0,0,0,1,0,0,0,4,32,4,0.00000,1
