dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,"        copy.data = new java.util.ArrayList();
",5,0,0,1,2,0,0,0,0,6,38,4,0.50000,1
defect4j,chart,org/jfree/data/time/Week,8,175,"        this(time, RegularTimePeriod.DEFAULT_TIME_ZONE, Locale.getDefault());
",3,0,0,2,4,0,2,0,0,5,69,4,0.50000,1
defect4j,chart,org/jfree/chart/util/ShapeUtilities,11,275,"        PathIterator iterator2 = p1.getPathIterator(null);
",1,0,0,1,2,0,2,1,0,4,50,4,0.06667,1
defect4j,chart,org/jfree/data/DefaultKeyedValues2D,18,459,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,1,1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,19,973,"        int result = this.rangeAxes.indexOf(axis);
",2,0,0,1,2,0,2,0,0,4,42,5,1.00000,1
defect4j,chart,org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset,21,742,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1.00000,1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1613,"        setRenderer(0, renderer, true);
",0,0,0,1,2,0,2,0,0,3,31,5,0.25000,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1614,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.25000,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,72,"    public ComparableObjectItem(Comparable x, Object y) {
",3,0,0,1,3,1,0,2,0,6,53,2,1,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,73,"        if (x == null) {
",1,1,0,1,3,0,0,0,0,2,16,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,76,"        this.x = x;
",2,0,0,0,0,0,0,0,0,3,11,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,77,"        this.obj = y;
",2,0,0,0,0,0,0,0,0,3,13,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,78,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/data/ComparableObjectItem,2,95,"        return this.obj;
",1,0,0,0,0,0,0,0,0,1,16,5,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,98,"        super(key);
",1,0,0,1,2,0,0,0,0,1,11,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,67,"    private int maximumItemCount = Integer.MAX_VALUE;
",3,0,0,0,0,1,0,0,0,4,49,2,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,99,"        this.data = new java.util.ArrayList();
",4,0,0,1,2,0,0,0,0,5,38,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,100,"        this.autoSort = autoSort;
",2,0,0,0,0,0,0,0,0,3,25,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,101,"        this.allowDuplicateXValues = allowDuplicateXValues;
",2,0,0,0,0,0,0,0,0,3,51,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,102,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,131,"        return this.data.size();
",1,0,0,1,2,0,1,0,0,2,24,5,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,216,"        if (item == null) {
",1,1,0,1,3,0,0,0,0,2,19,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,220,"        if (this.autoSort) {
",1,0,0,1,3,0,0,0,0,1,20,5,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,221,"            int index = Collections.binarySearch(this.data, item);
",2,0,0,1,2,0,3,0,0,5,54,7,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,222,"            if (index < 0) {
",1,1,0,1,3,0,0,0,0,2,16,6,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,223,"                this.data.add(-index - 1, item);
",2,1,0,1,2,0,2,0,0,6,32,9,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,244,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,256,"        if (getItemCount() > this.maximumItemCount) {
",1,1,0,2,5,0,1,0,0,3,45,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,259,"        if (notify) {
",1,0,0,1,3,0,0,0,0,1,13,4,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,260,"            fireSeriesChanged();
",0,0,0,1,2,0,1,0,0,1,20,7,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,262,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/data/ComparableObjectSeries,2,333,"        return (ComparableObjectItem) this.data.get(index);
",1,0,0,2,4,0,2,1,0,4,51,5,1,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,97,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,98,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,99,"            return interval.getXLow();
",0,0,0,1,2,0,2,0,0,2,26,7,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,112,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,113,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,114,"            return interval.getXHigh();
",0,0,0,1,2,0,2,0,0,2,27,7,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,127,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,128,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,129,"            return interval.getYLow();
",0,0,0,1,2,0,2,0,0,2,26,7,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,142,"        XYInterval interval = (XYInterval) getObject();
",1,0,0,2,4,0,1,2,0,4,47,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,143,"        if (interval != null) {
",1,1,0,1,3,0,0,0,0,2,23,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalDataItem,2,144,"            return interval.getYHigh();
",0,0,0,1,2,0,2,0,0,2,27,7,1.00000,0
defect4j,chart,org/jfree/data/xy/XYInterval,2,92,"        return this.xLow;
",1,0,0,0,0,0,0,0,0,1,17,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYInterval,2,101,"        return this.xHigh;
",1,0,0,0,0,0,0,0,0,1,18,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYInterval,2,119,"        return this.yLow;
",1,0,0,0,0,0,0,0,0,1,17,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYInterval,2,128,"        return this.yHigh;
",1,0,0,0,0,0,0,0,0,1,18,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,173,"        XYIntervalSeries s = (XYIntervalSeries) this.data.get(series);
",2,0,0,2,4,0,2,2,0,6,62,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,174,"        return s.getXLowValue(item);
",0,0,0,1,2,0,3,0,0,3,28,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,187,"        XYIntervalSeries s = (XYIntervalSeries) this.data.get(series);
",2,0,0,2,4,0,2,2,0,6,62,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,188,"        return s.getXHighValue(item);
",0,0,0,1,2,0,3,0,0,3,29,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,215,"        XYIntervalSeries s = (XYIntervalSeries) this.data.get(series);
",2,0,0,2,4,0,2,2,0,6,62,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,216,"        return s.getYLowValue(item);
",0,0,0,1,2,0,3,0,0,3,28,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,229,"        XYIntervalSeries s = (XYIntervalSeries) this.data.get(series);
",2,0,0,2,4,0,2,2,0,6,62,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeriesCollection,2,230,"        return s.getYHighValue(item);
",0,0,0,1,2,0,3,0,0,3,29,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,120,"        XYIntervalDataItem item = (XYIntervalDataItem) getDataItem(index);
",1,0,0,2,4,0,2,2,0,5,66,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,121,"        return item.getXLowValue();
",0,0,0,1,2,0,2,0,0,2,27,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,135,"        XYIntervalDataItem item = (XYIntervalDataItem) getDataItem(index);
",1,0,0,2,4,0,2,2,0,5,66,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,136,"        return item.getXHighValue();
",0,0,0,1,2,0,2,0,0,2,28,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,162,"        XYIntervalDataItem item = (XYIntervalDataItem) getDataItem(index);
",1,0,0,2,4,0,2,2,0,5,66,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,163,"        return item.getYLowValue();
",0,0,0,1,2,0,2,0,0,2,27,5,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,177,"        XYIntervalDataItem item = (XYIntervalDataItem) getDataItem(index);
",1,0,0,2,4,0,2,2,0,5,66,4,1.00000,0
defect4j,chart,org/jfree/data/xy/XYIntervalSeries,2,178,"        return item.getYHighValue();
",0,0,0,1,2,0,2,0,0,2,28,5,1.00000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1050,"        if (start < 0) {
",1,1,0,1,3,0,0,0,0,2,16,4,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1053,"        if (end < start) {
",2,1,0,1,3,0,0,0,0,3,18,4,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1056,"        TimeSeries copy = (TimeSeries) super.clone();
",2,0,0,2,4,0,0,2,0,4,45,4,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1058,"        if (this.data.size() > 0) {
",1,1,0,2,5,0,1,0,0,3,27,4,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1059,"            for (int index = start; index <= end; index++) {
",5,1,0,1,3,0,0,0,0,7,48,6,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1060,"                TimeSeriesDataItem item
",1,0,0,0,0,0,0,1,0,2,23,8,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1062,"                TimeSeriesDataItem clone = (TimeSeriesDataItem) item.clone();
",1,0,0,2,4,0,2,2,0,5,61,8,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1064,"                    copy.add(clone);
",0,0,0,1,2,0,3,0,0,3,16,11,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1068,"                }
",0,0,0,0,1,0,0,0,0,0,1,3,0.50000,0
defect4j,chart,org/jfree/data/time/TimeSeries,3,1071,"        return copy;
",1,0,0,0,0,0,0,0,0,1,12,4,0.50000,0
defect4j,chart,org/jfree/chart/util/AbstractObjectList,4,166,"        return -1;
",0,0,0,0,0,0,0,0,0,1,10,4,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1222,"        Object[] listeners = this.listenerList.getListenerList();
",2,0,0,2,4,0,1,1,0,4,57,4,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1223,"        for (int i = listeners.length - 2; i >= 0; i -= 2) {
",5,2,0,1,3,0,0,0,0,8,52,4,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1228,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/chart/event/AxisChangeEvent,4,61,"        super(axis);
",1,0,0,1,2,0,0,0,0,1,12,4,1,0
defect4j,chart,org/jfree/chart/event/AxisChangeEvent,4,62,"        this.axis = axis;
",2,0,0,0,0,0,0,0,0,3,17,4,1,0
defect4j,chart,org/jfree/chart/event/AxisChangeEvent,4,63,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1043,"        this.plot = plot;
",2,0,0,0,0,0,0,0,0,3,17,4,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1044,"        configure();
",0,0,0,1,2,0,1,0,0,1,12,5,1,0
defect4j,chart,org/jfree/chart/util/AbstractObjectList,4,161,"        for (int index = 0; index < this.size; index++) {
",4,1,0,1,3,0,0,0,0,6,49,4,1,0
defect4j,chart,org/jfree/chart/util/AbstractObjectList,4,162,"            if (this.objects[index] == object) {
",2,1,1,2,5,0,0,0,0,4,36,6,1,0
defect4j,chart,org/jfree/chart/util/AbstractObjectList,4,163,"                return (index);
",1,0,0,1,2,0,0,0,0,1,15,9,1,0
defect4j,chart,org/jfree/chart/util/ObjectList,4,107,"        return super.indexOf(object);
",2,0,0,1,2,0,0,0,0,2,29,5,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,1030,"        return this.plot;
",1,0,0,0,0,0,0,0,0,1,17,5,1,0
defect4j,chart,org/jfree/data/general/DatasetGroup,4,63,"        super();
",0,0,0,1,2,0,0,0,0,0,8,3,1,0
defect4j,chart,org/jfree/data/general/DatasetGroup,4,64,"        this.id = ""NOID"";
",1,0,0,0,0,0,0,0,0,3,17,4,1,0
defect4j,chart,org/jfree/data/general/DatasetGroup,4,65,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,307,"    protected Axis(String label) {
",2,0,0,1,3,1,0,1,0,4,30,2,1,0
defect4j,chart,org/jfree/chart/axis/Axis,4,309,"        this.label = label;
",2,0,0,0,0,0,0,0,0,3,19,4,1,0
