dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,213,"      int lastLine = lastMapping.startPosition.getLine();
",6,0,0,1,2,0,2,0,0,8,51,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,214,"      int lastColumn = lastMapping.startPosition.getColumn();
",6,0,0,1,2,0,2,0,0,8,55,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,215,"      int nextLine = mapping.startPosition.getLine();
",6,0,0,1,2,0,2,0,0,8,47,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,216,"      int nextColumn = mapping.startPosition.getColumn();
",6,0,0,1,2,0,2,0,0,8,51,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,217,"      Preconditions.checkState(nextLine > lastLine
",4,1,0,0,1,0,4,0,0,9,44,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,326,"      String key = entry.getKey();
",2,0,0,1,2,0,4,2,0,8,28,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,327,"      if (i != 0) {
",2,1,0,1,3,0,0,0,0,3,13,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,330,"      out.append(escapeString(key));
",0,0,0,2,4,0,8,0,0,8,30,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,331,"      i++;
",2,0,0,0,0,0,0,0,0,3,4,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,332,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,389,"        m.id = id++;
",6,0,0,0,0,0,0,0,0,8,12,8,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,390,"        int endPositionLine = m.endPosition.getLine();
",6,0,0,1,2,0,2,0,0,8,46,9,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,391,"        maxLine = Math.max(maxLine, endPositionLine);
",2,0,0,1,2,0,8,0,0,11,45,8,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,659,"    if (sourceName != lastSourceFile) {
",4,1,0,1,3,0,0,0,0,5,35,4,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,660,"      lastSourceFile = sourceName;
",4,0,0,0,0,0,0,0,0,5,28,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,661,"      Integer index = sourceFileMap.get(sourceName);
",2,0,0,1,2,0,6,2,0,10,46,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,662,"      if (index != null) {
",2,1,0,1,3,0,0,0,0,3,20,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,665,"        lastSourceFileIndex = sourceFileMap.size();
",2,0,0,1,2,0,4,0,0,7,43,8,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,666,"        sourceFileMap.put(sourceName, lastSourceFileIndex);
",0,0,0,1,2,0,8,0,0,8,51,9,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,669,"    return lastSourceFileIndex;
",2,0,0,0,0,1,0,0,0,2,27,4,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,674,"    Integer index = originalNameMap.get(symbolName);
",2,0,0,1,2,0,6,2,0,10,48,4,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,675,"    if (index != null) {
",2,1,0,1,3,0,0,0,0,3,20,4,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,678,"      originalNameIndex = originalNameMap.size();
",2,0,0,1,2,0,4,0,0,7,43,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,679,"      originalNameMap.put(symbolName, originalNameIndex);
",0,0,0,1,2,0,8,0,0,8,51,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,681,"    return originalNameIndex;
",2,0,0,0,0,1,0,0,0,2,25,4,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,708,"      int id = (m != null) ? m.id : UNMAPPED;
",10,1,0,1,2,0,0,0,0,11,39,6,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,710,"      if (previousLine != line) {
",4,1,0,1,3,0,0,0,0,5,27,5,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,711,"        previousColumn = 0;
",2,0,0,0,0,0,0,0,0,3,19,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,714,"      if (line != nextLine || col != nextCol) {
",8,3,0,1,3,0,0,0,0,11,41,5,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,715,"        if (previousLine == line) { // not the first entry for the line
",4,1,0,1,3,0,0,0,0,5,63,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,718,"        writeEntry(m, col);
",0,0,0,1,2,0,6,0,0,6,19,8,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,719,"        previousLine = line;
",4,0,0,0,0,0,0,0,0,5,20,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,720,"        previousColumn = col;
",4,0,0,0,0,0,0,0,0,5,21,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,723,"      for (int i = line; i <= nextLine; i++) {
",10,1,0,1,3,0,0,0,0,12,40,5,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,724,"        if (i == nextLine) {
",4,1,0,1,3,0,0,0,0,5,20,7,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,725,"          break;
",0,0,0,0,0,0,0,0,0,0,6,3,256.00000,0
defect4j,closure,com/google/debugging/sourcemap/SourceMapGeneratorV3,47,731,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,256.00000,0
