dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,closure,com/google/javascript/rhino/Node,103,1330,"          return ""Node tree inequality:"" +
",0,2,0,0,0,1,0,0,0,3,32,6,0.50000,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,77,"      String startMarkerName, String endMarkerName) {
",4,0,0,0,2,0,0,4,0,8,47,3,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,78,"    this.compiler = compiler;
",4,0,0,0,0,0,0,0,0,5,25,4,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,79,"    this.startMarkerName = startMarkerName;
",4,0,0,0,0,0,0,0,0,5,39,4,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,80,"    this.endMarkerName = endMarkerName;
",4,0,0,0,0,0,0,0,0,5,35,4,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,81,"    startMarkerStack = new ArrayDeque<StartMarker>();
",2,0,0,1,2,0,0,4,0,7,49,4,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,82,"  }
",0,0,0,0,1,0,0,0,0,0,1,3,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,33,"  static final DiagnosticType UNMATCHED_START_MARKER = DiagnosticType.warning(
",2,0,0,0,1,2,4,2,0,10,76,2,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,36,"  static final DiagnosticType UNMATCHED_END_MARKER = DiagnosticType.warning(
",2,0,0,0,1,2,4,2,0,10,74,2,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,86,"    NodeTraversal.traverse(compiler, root, new Callback());
",0,0,0,2,4,0,8,2,0,10,55,5,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,88,"    for (StartMarker startMarker : startMarkerStack) {
",4,0,0,1,3,0,0,2,0,6,50,4,0.33333,0
defect4j,closure,com/google/javascript/jscomp/CreateSyntheticBlocks,103,92,"  }
",0,0,0,0,1,0,0,0,0,0,1,3,0.33333,0
