dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,400,"        return reflectionHashCode(17, 37, object, false, null, null);
",0,0,0,1,2,1,4,0,0,6,61,4,0.33333,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,107,"            return new HashSet<IDKey>();
",0,0,0,1,2,1,0,4,0,4,28,11,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,137,"        return REGISTRY.get();
",0,0,0,1,2,1,4,0,0,4,22,5,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,152,"        return getRegistry().contains(new IDKey(value));
",2,0,0,3,6,1,4,2,0,8,48,5,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,173,"        if (isRegistered(object)) {
",0,0,0,2,5,0,4,0,0,4,27,5,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,177,"            register(object);
",0,0,0,1,2,0,4,0,0,4,17,7,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,178,"            Field[] fields = clazz.getDeclaredFields();
",2,0,0,2,4,0,4,2,0,8,43,6,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,179,"            AccessibleObject.setAccessible(fields, true);
",0,0,0,1,2,0,6,0,0,7,45,7,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,180,"            for (Field field : fields) {
",4,0,0,1,3,0,0,2,0,6,28,6,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,181,"                if (!ArrayUtils.contains(excludeFields, field.getName())
",0,0,0,2,5,0,10,0,0,11,56,11,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,186,"                        Object fieldValue = field.get(object);
",2,0,0,1,2,0,6,2,0,10,38,12,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,187,"                        builder.append(fieldValue);
",0,0,0,1,2,0,6,0,0,6,27,13,0.14286,0
defect4j,lang,org/apache/commons/lang3/builder/HashCodeBuilder,32,192,"                    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.14286,0
