dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,182,"        return getInstance(pattern, timeZone, null);
",0,0,0,1,2,0,6,0,0,7,44,4,1.00000,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1300,"                for (int i = mSize; --i >= 2; ) {
",6,1,0,1,3,0,0,0,0,8,33,7,0.50000,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1301,"                    buffer.append('0');
",0,0,0,1,2,0,4,0,0,5,19,10,0.50000,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1303,"                buffer.append((char)(value / 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,8,0.50000,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1304,"                buffer.append((char)(value % 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,8,0.50000,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1423,"            appendTo(buffer, calendar.get(Calendar.MONTH) + 1);
",4,1,0,2,4,0,8,0,0,13,51,6,0.03333,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1424,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03333,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1430,"            buffer.append((char)(value / 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,6,0.03333,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1431,"            buffer.append((char)(value % 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,6,0.03333,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1432,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03333,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1310,"                    Validate.isTrue(value > -1, ""Negative values should not be possible"", value);
",2,1,0,1,2,0,6,0,0,11,77,10,0.03125,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1311,"                    digits = Integer.toString(value).length();
",2,0,0,2,4,0,8,0,0,11,42,9,0.03125,0
defect4j,lang,org/apache/commons/lang3/Validate,38,121,"        if (expression == false) {
",2,1,0,1,3,0,0,0,0,4,26,4,0.03125,0
defect4j,lang,org/apache/commons/lang3/Validate,38,124,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03125,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1347,"            appendTo(buffer, calendar.get(mField));
",0,0,0,2,4,0,10,0,0,10,39,6,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1348,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1354,"            if (value < 100) {
",2,1,0,1,3,0,0,0,0,3,18,5,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1355,"                buffer.append((char)(value / 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,8,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1356,"                buffer.append((char)(value % 10 + '0'));
",2,2,0,3,6,0,4,0,0,9,40,8,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1360,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1098,"            buffer.append(mValue);
",0,0,0,1,2,0,6,0,0,6,22,6,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,1099,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,633,"                rule = selectNumberRule(Calendar.HOUR_OF_DAY, tokenLen);
",6,0,0,1,2,0,4,0,0,11,56,7,0.03030,0
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,634,"                break;
",0,0,0,0,0,0,0,0,0,0,6,3,0.03030,0
