dataset,project,pPath,pId,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,77,final CharSequence result = lookupMap.get(subSeq);,1,0,0,1,2,1,3,1,0,6,50,6,1,1
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,268,"return Class.forName(name, false, Thread.currentThread().getContextClassLoader());",0,0,0,3,6,1,6,0,0,7,82,9,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,14,788,return cs1.equals(cs2);,0,0,0,1,2,1,3,0,0,3,23,5,1,1
defect4j,lang,org/apache/commons/lang3/time/DateUtils,21,262,(cal1.get(Calendar.MILLISECOND) == cal2.get(Calendar.MILLISECOND) &&,4,8,0,2,5,0,4,0,0,16,68,5,1,1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1413,                return foundDigit && !hasExp;,2,1,0,0,0,0,0,0,0,4,29,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1682,                if (searchChars[j] == ch) {,1,1,1,2,5,0,0,0,0,4,27,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,30,1685,                        return false;,0,0,0,0,0,0,0,0,0,1,13,10,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1447,"			char ch = cs.charAt(i);",1,0,0,1,2,0,3,0,0,4,23,7,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1449,"				if (searchChars[j] == ch) {",1,1,1,2,5,0,0,0,0,4,27,8,1,1
defect4j,lang,org/apache/commons/lang3/StringUtils,31,1452,"						return true;",0,0,0,0,0,0,0,0,0,1,12,10,1,1
defect4j,lang,org/apache/commons/lang3/ClassUtils,33,909,        for (int i = 0; i < array.length; i++) {,5,1,0,1,3,0,0,0,0,7,40,4,1,1
defect4j,lang,org/apache/commons/lang3/ClassUtils,33,910,            classes[i] = array[i].getClass();,0,0,1,3,6,0,1,0,0,6,33,6,1,1
defect4j,lang,org/apache/commons/lang3/ArrayUtils,35,3295,            type = Object.class;,1,0,0,0,0,0,0,1,0,3,20,7,1,1
defect4j,lang,org/apache/commons/lang3/ArrayUtils,37,2962,"            System.arraycopy(array2, 0, joinedArray, array1.length, array2.length);",4,0,0,1,2,0,4,0,0,8,71,5,1,1
defect4j,lang,org/apache/commons/lang3/time/FastDateFormat,38,872,            calendar = (Calendar) calendar.clone();,1,0,0,2,4,0,2,1,0,5,39,6,1,1
defect4j,lang,org/apache/commons/lang/StringUtils,40,1048,"        return contains(str.toUpperCase(), searchStr.toUpperCase());",0,0,0,3,6,0,5,0,0,5,60,5,1,1
defect4j,lang,org/apache/commons/lang/math/Fraction,49,466,"        int gcd = greatestCommonDivisor(Math.abs(numerator), denominator);",1,0,0,2,4,0,5,0,0,6,66,5,1,1
defect4j,lang,org/apache/commons/lang/BooleanUtils,51,677,                if (ch == 'Y') {,1,1,0,1,3,0,0,0,0,3,16,6,1,1
defect4j,lang,org/apache/commons/lang/LocaleUtils,57,223,        return cAvailableLocaleSet.contains(locale);,0,0,0,1,2,0,3,0,0,3,44,5,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,59,884,"                str.getChars(0, strLen, buffer, size);",0,0,0,1,2,0,5,0,0,5,38,9,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,60,1673,        for (int i = 0; i < thisBuf.length; i++) {,5,1,0,1,3,0,0,0,0,7,42,4,1,1
defect4j,lang,org/apache/commons/lang/text/StrBuilder,61,1776,        int len = thisBuf.length - strLen;,4,1,0,0,0,0,0,0,0,5,34,5,1,1
defect4j,lang,org/apache/commons/lang/Entities,62,845,                            if (charAt1 == 'x' || charAt1=='X') {,2,3,0,1,3,0,0,0,0,7,37,15,1,1
defect4j,lang,org/apache/commons/lang/Entities,62,848,                                entityValue = Integer.parseInt(entityName.substring(1));,1,0,0,2,4,0,4,0,0,6,56,17,1,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,306,            days += 31;,1,0,0,0,0,0,0,0,0,2,11,6,1,1
defect4j,lang,org/apache/commons/lang/time/DurationFormatUtils,63,312,            months -= 1;,1,0,0,0,0,0,0,0,0,2,12,6,1,1
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,78, if (result != null) {,1,1,0,1,3,0,0,0,0,2,21,6,1,0
defect4j,lang,org/apache/commons/lang3/text/translate/LookupTranslator,4,76,"final CharSequence subSeq = input.subSequence(index, index + i);",3,1,0,1,2,1,3,1,0,9,64,6,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,99," throw new SerializationException(""ClassNotFoundException while reading cloned object data"", ex);",1,0,0,1,2,0,0,1,0,3,96,8,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,98, catch (ClassNotFoundException ex) {,1,0,0,1,3,0,0,1,0,2,35,6,1,0
defect4j,lang,org/apache/commons/lang3/SerializationUtils,13,267,catch (ClassNotFoundException ex) {,1,0,0,1,3,0,0,1,0,2,35,7,1,0
defect4j,lang,org/apache/commons/lang3/StringUtils,14,783,return true;,0,0,0,0,0,1,0,0,0,1,12,6,1,0
defect4j,lang,org/apache/commons/lang3/StringUtils,14,782, if (cs1 == cs2) {,2,1,0,1,3,0,0,0,0,3,17,4,1,0
defect4j,lang,org/apache/commons/lang3/StringUtils,14,785,if (cs1 == null || cs2 == null) {,2,3,0,1,3,0,0,0,1,5,33,4,1,0
defect4j,lang,org/apache/commons/lang3/time/DateUtils,21,259,if (cal1 == null || cal2 == null) {,2,3,0,1,3,0,0,0,1,5,35,4,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,480,"                    throw new NumberFormatException(str + "" is not a valid number."");",1,1,0,1,2,0,0,1,0,4,65,11,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,553,"                    throw new NumberFormatException(str + "" is not a valid number."");",1,1,0,1,2,0,0,1,0,4,65,8,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,621,        return str.length() > 0;,0,1,0,1,2,0,2,0,0,3,24,4,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,521,"                    throw new NumberFormatException(str + "" is not a valid number."");",1,1,0,1,2,0,0,1,0,4,65,8,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1379,                allowSigns = false;,1,0,0,0,0,0,0,0,0,3,19,11,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1373,                hasExp = true;,1,0,0,0,0,0,0,0,0,3,14,10,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1370,                if (!foundDigit) {,1,0,0,1,3,0,0,0,0,2,18,10,1,0
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,24,1376,                if (!allowSigns) {,1,0,0,1,3,0,0,0,0,2,18,11,1,0
