dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,mockito,org/mockito/internal/invocation/InvocationMatcher,1,123,"            throw new UnsupportedOperationException();
",0,0,0,1,2,0,0,2,0,2,42,8,0.00000,1
defect4j,mockito,org/mockito/exceptions/Reporter,4,677,"        return details.getCause().getMessage();
",0,0,0,2,4,1,6,0,0,6,39,5,0.00000,1
defect4j,mockito,org/mockito/internal/verification/VerificationOverTimeImpl,5,91,"            catch (org.mockito.exceptions.verification.junit.ArgumentsAreDifferent e) {
",14,0,0,1,3,0,0,0,0,14,75,8,0.00000,1
defect4j,mockito,org/mockito/Matchers,6,461,"        return (Collection) reportMatcher(Any.ANY).returnList();
",4,0,0,3,6,1,4,2,0,10,56,5,0.00000,1
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,7,379,"            registerTypeVariablesOn(getActualTypeArgumentFor(typeVariable));
",0,0,0,2,4,0,6,0,0,6,64,6,0.07692,1
defect4j,mockito,org/mockito/internal/stubbing/answers/CallsRealMethods,9,36,"        return invocation.callRealMethod();
",0,0,0,1,2,1,4,0,0,4,35,5,0.00000,1
defect4j,mockito,org/mockito/internal/configuration/injection/FinalMockCandidateFilter,15,26,"                    } catch (Exception e) {
",2,0,0,1,4,0,0,2,0,4,23,13,0.00000,1
defect4j,mockito,org/mockito/internal/MockitoCore,16,36,"        return mockUtil.createMock(classToMock, (MockSettingsImpl) mockSettings);
",2,0,0,2,4,1,6,2,0,10,73,5,0.00159,1
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,18,87,"        } else if (type == Collection.class) {
",2,1,0,1,4,0,0,2,0,5,38,5,0.00210,1
defect4j,mockito,org/mockito/internal/util/Primitives,26,66,"        primitiveValues.put(double.class, 0);
",0,0,0,1,2,0,4,0,0,4,37,5,0.02873,1
defect4j,mockito,org/mockito/internal/util/MockUtil,27,65,"        MethodInterceptorFilter newFilter = new MethodInterceptorFilter(newMockHandler, (MockSettingsImpl) org.mockito.Mockito.withSettings().defaultAnswer(org.mockito.Mockito.RETURNS_DEFAULTS));
",18,0,0,4,8,0,4,6,0,28,187,4,0.04348,1
