dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,99,"                throw new IllegalArgumentException(""Invalid locale format: "" + str);
",2,1,0,1,2,0,0,2,0,6,68,7,0.50000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,89,"        if (str == null) {
",2,1,0,1,3,0,0,0,0,3,18,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,92,"        final int len = str.length();
",2,0,0,1,2,1,4,0,0,7,29,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,93,"        if (len < 2) {
",2,1,0,1,3,0,0,0,0,3,14,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,96,"        final char ch0 = str.charAt(0);
",2,0,0,1,2,1,4,0,0,7,31,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,97,"            final char ch1 = str.charAt(1);
",2,0,0,1,2,1,4,0,0,7,31,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,98,"            if (!Character.isLowerCase(ch0) || !Character.isLowerCase(ch1)) {
",0,1,0,3,7,0,12,0,0,15,65,4,0.25000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,288,"    static class SyncAvoid {
",2,0,0,0,1,1,0,0,0,3,24,2,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,295,"            List<Locale> list = new ArrayList<Locale>(Arrays.asList(Locale.getAvailableLocales()));  // extra safe
",2,0,0,3,6,0,8,8,0,18,102,5,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,296,"            AVAILABLE_LOCALE_LIST = Collections.unmodifiableList(list);
",2,0,0,1,2,0,6,0,0,9,59,5,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,297,"            AVAILABLE_LOCALE_SET = Collections.unmodifiableSet(new HashSet<Locale>(list));
",4,0,0,2,4,0,4,4,0,13,78,5,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,298,"        }
",0,0,0,0,1,0,0,0,0,0,1,3,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,42,"    private static final ConcurrentMap<String, List<Locale>> cLanguagesByCountry = 
",2,0,0,0,0,3,0,8,0,13,78,2,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,46,"    private static final ConcurrentMap<String, List<Locale>> cCountriesByLanguage = 
",2,0,0,0,0,3,0,8,0,13,79,2,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,193,"        return SyncAvoid.AVAILABLE_LOCALE_LIST;
",4,0,0,0,0,0,0,0,0,4,39,5,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,218,"        return availableLocaleList().contains(locale);
",0,0,0,2,4,0,6,0,0,6,46,5,0.08333,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,57,"      super();
",0,0,0,1,2,0,0,0,0,0,8,3,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,58,"    }
",0,0,0,0,1,0,0,0,0,0,1,3,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,90,"            return null;
",0,0,0,0,0,0,0,0,0,0,12,3,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,94,"            throw new IllegalArgumentException(""Invalid locale format: "" + str);
",2,1,0,1,2,0,0,2,0,6,68,7,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,101,"            if (len == 2) {
",2,1,0,1,3,0,0,0,0,3,15,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,102,"                return new Locale(str);
",2,0,0,1,2,0,0,2,0,4,23,7,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,104,"            if (len < 5) {
",2,1,0,1,3,0,0,0,0,3,14,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,105,"                throw new IllegalArgumentException(""Invalid locale format: "" + str);
",2,1,0,1,2,0,0,2,0,6,68,7,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,107,"            if (str.charAt(2) != '_') {
",0,1,0,2,5,0,4,0,0,6,27,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,108,"                throw new IllegalArgumentException(""Invalid locale format: "" + str);
",2,1,0,1,2,0,0,2,0,6,68,7,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,110,"            final char ch3 = str.charAt(3);
",2,0,0,1,2,1,4,0,0,7,31,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,111,"            if (ch3 == '_') {
",2,1,0,1,3,0,0,0,0,4,17,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,112,"                return new Locale(str.substring(0, 2), """", str.substring(4));
",0,0,0,3,6,0,8,2,0,11,61,7,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,114,"            final char ch4 = str.charAt(4);
",2,0,0,1,2,1,4,0,0,7,31,4,0.00000,0
defect4j,lang,org/apache/commons/lang3/LocaleUtils,5,115,"            if (!Character.isUpperCase(ch3) || !Character.isUpperCase(ch4)) {
",0,1,0,3,7,0,12,0,0,15,65,4,0.00000,0
