project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/jfree/data/UnknownKeyException,22,56,        super(message);,8.0,0,1,0
org/jfree/data/UnknownKeyException,22,57,    },8.0,0,1,0
org/jfree/data/KeyedObject,22,85,        return this.key;,1.38462,0,-1,0
org/jfree/data/KeyedObjects,22,134,            KeyedObject ko = (KeyedObject) iterator.next();,1.38462,0,-1,0
org/jfree/data/KeyedObjects,22,135,            if (ko.getKey().equals(key)) {,1.38462,0,-1,0
org/jfree/data/KeyedObjects2D,22,262,        if (rowKey == null) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,265,        if (columnKey == null) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,269,        int rowIndex = this.rowKeys.indexOf(rowKey);,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,270,        if (rowIndex >= 0) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,274,            this.rowKeys.add(rowKey);,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,275,            row = new KeyedObjects();,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,276,            this.rows.add(row);,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,278,"        row.setObject(columnKey, object);",1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,279,        int columnIndex = this.columnKeys.indexOf(columnKey);,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,280,        if (columnIndex < 0) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,281,            this.columnKeys.add(columnKey);,1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,284,    },1.24138,0,-1,0
org/jfree/data/KeyedObject,22,74,"    public KeyedObject(Comparable key, Object object) {",1.24138,0,-1,0
org/jfree/data/KeyedObject,22,75,        this.key = key;,1.24138,0,-1,0
org/jfree/data/KeyedObject,22,76,        this.object = object;,1.24138,0,-1,0
org/jfree/data/KeyedObject,22,77,    },1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,67,    public KeyedObjects() {,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,68,        this.data = new java.util.ArrayList();,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,69,    },1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,128,        if (key == null) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,131,        int i = 0;,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,132,        Iterator iterator = this.data.iterator();,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,133,        while (iterator.hasNext()) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,140,        return -1;,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,201,        int keyIndex = getIndex(key);,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,202,        if (keyIndex >= 0) {,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,207,"            KeyedObject ko = new KeyedObject(key, object);",1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,208,            this.data.add(ko);,1.24138,0,-1,0
org/jfree/data/KeyedObjects,22,210,    },1.24138,0,-1,0
org/jfree/data/KeyedObjects2D,22,74,    public KeyedObjects2D() {,1.16129,1,-1,1
org/jfree/data/KeyedObjects2D,22,75,        this.rowKeys = new java.util.ArrayList();,1.16129,1,-1,1
org/jfree/data/KeyedObjects2D,22,76,        this.columnKeys = new java.util.ArrayList();,1.16129,1,-1,1
org/jfree/data/KeyedObjects2D,22,77,        this.rows = new java.util.ArrayList();,1.16129,1,-1,1
org/jfree/data/KeyedObjects2D,22,78,    },1.16129,0,-1,0
org/jfree/data/KeyedObjects,22,138,            i++;,1.06667,0,-1,0
org/jfree/data/KeyedObjects,22,139,        },1.06667,0,-1,0
org/jfree/data/KeyedObjects2D,22,370,        int index = getColumnIndex(columnKey);,1.0,0,-1,0
org/jfree/data/KeyedObjects2D,22,371,        if (index < 0) {,1.0,0,-1,0
org/jfree/data/KeyedObjects2D,22,375,        Iterator iterator = this.rows.iterator();,1.0,0,-1,0
org/jfree/data/KeyedObjects2D,22,376,        while (iterator.hasNext()) {,1.0,0,-1,0
org/jfree/data/KeyedObjects2D,22,377,            KeyedObjects rowData = (KeyedObjects) iterator.next();,1.0,0,-1,0
org/jfree/data/KeyedObjects2D,22,378,                rowData.removeValue(columnKey);,1.0,1,-1,0
org/jfree/data/KeyedObjects,22,171,"            throw new UnknownKeyException(""The key ("" + key ",1.0,0,-1,0
org/jfree/data/KeyedObjects,22,266,        int index = getIndex(key);,1.0,0,-1,0
org/jfree/data/KeyedObjects,22,267,        if (index < 0) {,1.0,0,-1,0
org/jfree/data/KeyedObjects,22,268,"            throw new UnknownKeyException(""The key ("" + key.toString() ",1.0,0,-1,0
org/jfree/data/KeyedObjects,22,136,                return i;,0.96154,0,-1,0
org/jfree/data/KeyedObject,22,94,        return this.object;,0.59259,0,-1,0
org/jfree/data/KeyedObjects,22,90,        Object result = null;,0.59259,0,-1,0
org/jfree/data/KeyedObjects,22,91,        KeyedObject kobj = (KeyedObject) this.data.get(item);,0.59259,0,-1,0
org/jfree/data/KeyedObjects,22,92,        if (kobj != null) {,0.59259,0,-1,0
org/jfree/data/KeyedObjects,22,93,            result = kobj.getObject();,0.59259,0,-1,0
org/jfree/data/KeyedObjects,22,95,        return result;,0.59259,0,-1,0
