project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/apache/commons/math3/linear/OpenMapRealVector,29,361,        OpenMapRealVector res = new OpenMapRealVector(this);,2.0,0,0,0
org/apache/commons/math3/linear/OpenMapRealVector,29,362,        Iterator iter = entries.iterator();,2.0,0,1,0
org/apache/commons/math3/linear/OpenMapRealVector,29,363,        while (iter.hasNext()) {,2.0,0,1,0
org/apache/commons/math3/linear/OpenMapRealVector,29,364,            iter.advance();,2.0,0,1,0
org/apache/commons/math3/linear/OpenMapRealVector,29,365,"            res.setEntry(iter.key(), iter.value() * v.getEntry(iter.key()));",2.0,0,1,0
org/apache/commons/math3/linear/OpenMapRealVector,29,374,        return res;,2.0,1,1,1
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,281,"                j = probe(perturb, j);",1.8,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,282,                index = j & mask;,1.8,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,283,                perturb >>= PERTURB_SHIFT;,1.8,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,285,                if (states[index] != FULL || keys[index] == key) {,1.8,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,292,            return index;,1.8,0,-1,0
org/apache/commons/math3/linear/OpenMapRealVector,29,360,        checkVectorDimensions(v.getDimension());,1.33333,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,277,        int perturb = perturb(hash);,1.28571,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,278,        int j = index;,1.28571,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,279,        if (states[index] == FULL) {,1.28571,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,291,        if (states[index] == FREE) {,1.28571,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,247,        return hash & 0x7fffffff;,1.0,0,-1,0
org/apache/commons/math3/util/OpenIntToDoubleHashMap,29,323,        return (j << 2) + j + perturb + 1;,1.0,0,-1,0
