project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,24,76,            return 1;,1.0,1,1,0
org/mockito/internal/stubbing/OngoingStubbingImpl,24,43,        return invocationContainerImpl.getInvocations();,0.04545,0,-1,0
org/mockito/internal/MockitoCore,24,164,        OngoingStubbingImpl ongoingStubbing = ((OngoingStubbingImpl) mockingProgress.pullOngoingStubbing());,0.04545,0,-1,0
org/mockito/internal/MockitoCore,24,165,        List<Invocation> allInvocations = ongoingStubbing.getRegisteredInvocations();,0.04545,0,-1,0
org/mockito/internal/MockitoCore,24,166,        return allInvocations.get(allInvocations.size()-1);,0.04545,0,-1,0
org/mockito/internal/creation/jmock/ClassImposterizer,24,80,            constructor.setAccessible(accessible);,0.01465,0,-1,0
org/mockito/internal/creation/jmock/ClassImposterizer,24,103,            enhancer.setSuperclass(mockedType);,0.01465,0,-1,0
org/mockito/internal/creation/jmock/ClassImposterizer,24,104,            enhancer.setInterfaces(interfaces);,0.01465,0,-1,0
org/mockito/internal/invocation/ArgumentsProcessor,24,47,                matchers.add(new Equals(arg));,0.00873,0,-1,0
org/mockito/internal/invocation/ArgumentsProcessor,24,44,            if (arg != null && arg.getClass().isArray()) {,0.00864,0,-1,0
org/mockito/internal/matchers/Equals,24,19,    public Equals(Object wanted) {,0.00853,0,-1,0
org/mockito/internal/matchers/Equals,24,20,        this.wanted = wanted;,0.00853,0,-1,0
org/mockito/internal/matchers/Equals,24,21,    },0.00853,0,-1,0
org/mockito/Mockito,24,1122,"        return mock(classToMock, withSettings().defaultAnswer(RETURNS_DEFAULTS));",0.00798,0,-1,0
org/mockito/ArgumentMatcher,24,60,public abstract class ArgumentMatcher<T> extends BaseMatcher<T> {,0.00786,0,-1,0
org/mockito/configuration/DefaultMockitoConfiguration,24,32,        return new ReturnsEmptyValues();,0.00771,0,-1,0
org/mockito/internal/stubbing/defaultanswers/GloballyConfiguredAnswer,24,24,        return new GlobalConfiguration().getDefaultAnswer().answer(invocation);,0.00769,0,-1,0
org/mockito/internal/configuration/GlobalConfiguration,24,67,        return globalConfiguration.get().getDefaultAnswer();,0.00769,0,-1,0
org/mockito/internal/handler/NullResultGuardian,24,35,            return result;,0.00768,0,-1,0
org/mockito/internal/util/ObjectMethodsGuru,24,39,        return Comparable.class.isAssignableFrom(method.getDeclaringClass()),0.00759,0,-1,0
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,24,72,        } else if (methodsGuru.isCompareToMethod(invocation.getMethod())) {,0.00759,0,-1,0
org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues,24,64,        if (methodsGuru.isToString(invocation.getMethod())) {,0.00739,0,-1,0
org/mockito/internal/util/ObjectMethodsGuru,24,18,        return isToString(new DelegatingMethod(method));,0.00693,0,-1,0
org/mockito/internal/util/ObjectMethodsGuru,24,22,        return method.getReturnType() == String.class,0.00693,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,37,        return method.getReturnType();,0.00693,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,45,        this.invocationForStubbing = invocationMatcher;,0.00685,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,46,    },0.00685,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,93,             Object ret = mockSettings.getDefaultAnswer().answer(invocation);,0.00685,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,100,            invocationContainerImpl.resetInvocationForPotentialStubbing(invocationMatcher);,0.00685,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,101,            return ret;,0.00685,0,-1,0
org/mockito/internal/creation/settings/CreationSettings,24,77,        return defaultAnswer;,0.0068,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,85,        },0.0068,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,87,        return null;,0.0068,0,-1,0
org/mockito/internal/util/MockNameImpl,24,20,            this.mockName = toInstanceName(classToMock);,0.00664,0,-1,0
org/mockito/internal/util/MockNameImpl,24,21,            this.defaultName = true;,0.00664,0,-1,0
org/mockito/internal/util/MockNameImpl,24,32,        String className = clazz.getSimpleName();,0.00664,0,-1,0
org/mockito/internal/util/MockNameImpl,24,33,        if (className.length() == 0) {,0.00664,0,-1,0
org/mockito/internal/util/MockNameImpl,24,38,"        return className.substring(0, 1).toLowerCase() + className.substring(1);",0.00664,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,25,        return method;,0.00647,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,87,        StubbedInvocationMatcher stubbedInvocation = invocationContainerImpl.findAnswerFor(invocation);,0.00646,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,89,        if (stubbedInvocation != null) {,0.00646,0,-1,0
org/mockito/internal/creation/DelegatingMockitoMethodProxy,24,18,        return methodProxy;,0.00643,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,41,        return method.isVarArgs();,0.00643,0,-1,0
org/mockito/internal/creation/DelegatingMockitoMethodProxy,24,13,    public DelegatingMockitoMethodProxy(MethodProxy methodProxy) {,0.00642,0,-1,0
org/mockito/internal/creation/DelegatingMockitoMethodProxy,24,14,        this.methodProxy = methodProxy;,0.00642,0,-1,0
org/mockito/internal/stubbing/BaseStubbing,24,14,"public abstract class BaseStubbing<T> implements OngoingStubbing<T>, DeprecatedOngoingStubbing<T> {",0.00642,0,-1,0
org/mockito/internal/creation/DelegatingMockitoMethodProxy,24,15,    },0.00642,0,-1,0
org/mockito/internal/stubbing/OngoingStubbingImpl,24,19,    public OngoingStubbingImpl(InvocationContainerImpl invocationContainerImpl) {,0.00642,0,-1,0
org/mockito/internal/stubbing/OngoingStubbingImpl,24,20,        this.invocationContainerImpl = invocationContainerImpl;,0.00642,0,-1,0
org/mockito/internal/stubbing/OngoingStubbingImpl,24,21,    },0.00642,0,-1,0
org/mockito/internal/progress/ThreadSafeMockingProgress,24,29,        threadSafely().reportOngoingStubbing(iOngoingStubbing);,0.00642,0,-1,0
org/mockito/internal/progress/ThreadSafeMockingProgress,24,30,    },0.00642,0,-1,0
org/mockito/internal/progress/MockingProgressImpl,24,31,        this.iOngoingStubbing = iOngoingStubbing;,0.00642,0,-1,0
org/mockito/internal/progress/MockingProgressImpl,24,32,    },0.00642,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,75,        return new DelegatingMockitoMethodProxy(methodProxy);,0.00642,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,82,        invocationContainerImpl.setInvocationForPotentialStubbing(invocationMatcher);,0.00642,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,82,            return new DelegatingMethod(method); ,0.00642,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,83,        OngoingStubbingImpl<T> ongoingStubbing = new OngoingStubbingImpl<T>(invocationContainerImpl);,0.00642,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,84,        mockingProgress.reportOngoingStubbing(ongoingStubbing);,0.00642,0,-1,0
org/mockito/internal/handler/NullResultGuardian,24,29,        Object result = delegate.handle(invocation);,0.00638,0,-1,0
org/mockito/internal/handler/NullResultGuardian,24,30,        Class<?> returnType = invocation.getMethod().getReturnType();,0.00638,0,-1,0
org/mockito/internal/handler/NullResultGuardian,24,31,        if(result == null && returnType.isPrimitive()) {,0.00638,0,-1,0
org/mockito/internal/handler/InvocationNotifierHandler,24,38,            Object returnedValue = mockHandler.handle(invocation);,0.00638,0,-1,0
org/mockito/internal/handler/InvocationNotifierHandler,24,39,"            notifyMethodCall(invocation, returnedValue);",0.00638,0,-1,0
org/mockito/internal/handler/InvocationNotifierHandler,24,40,            return returnedValue;,0.00638,0,-1,0
org/mockito/internal/handler/InvocationNotifierHandler,24,49,		for (InvocationListener listener : invocationListeners) {,0.00638,0,-1,0
org/mockito/internal/handler/InvocationNotifierHandler,24,56,	},0.00638,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,61,        return handler.handle(invocation);,0.00638,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,77,        synchronized (stubbed) {,0.00637,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,78,            for (StubbedInvocationMatcher s : stubbed) {,0.00637,0,-1,0
org/mockito/internal/progress/MockingProgressImpl,24,55,            return null;,0.00636,0,-1,0
org/mockito/internal/verification/DefaultRegisteredInvocations,24,24,        synchronized (invocations) {,0.00633,0,-1,0
org/mockito/internal/verification/DefaultRegisteredInvocations,24,25,            invocations.add(invocation);,0.00633,0,-1,0
org/mockito/internal/verification/DefaultRegisteredInvocations,24,26,        },0.00633,0,-1,0
org/mockito/internal/verification/DefaultRegisteredInvocations,24,27,    },0.00633,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,40,        registeredInvocations.add(invocation.getInvocation());,0.00629,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,41,        this.invocationForStubbing = invocation;,0.00629,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,42,    },0.00629,0,-1,0
org/mockito/internal/progress/ArgumentMatcherStorageImpl,24,41,            return Collections.emptyList();,0.00626,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,64,        mockingProgress.validateState();,0.00625,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,67,        if (verificationMode != null) {,0.00625,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,59,        InvocationMatcher invocationMatcher = matchersBinder.bindMatchers(,0.00623,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,57,        VerificationMode verificationMode = mockingProgress.pullVerificationMode();,0.0062,0,-1,0
org/mockito/internal/progress/ThreadSafeMockingProgress,24,41,        return threadSafely().pullVerificationMode();,0.00618,0,-1,0
org/mockito/internal/progress/MockingProgressImpl,24,54,        if (verificationMode == null) {,0.00617,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,24,"        validateMatchers(invocation, lastMatchers);",0.00614,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,26,"        InvocationMatcher invocationWithMatchers = new InvocationMatcher(invocation, (List<Matcher>)(List) lastMatchers);",0.00614,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,27,        return invocationWithMatchers;,0.00614,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,38,    },0.00614,0,-1,0
org/mockito/internal/progress/SequenceNumber,24,9,    private static int sequenceNumber = 1;,0.00613,0,-1,0
org/mockito/internal/progress/SequenceNumber,24,12,        return sequenceNumber++;,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/CGLIBProxyRealMethod,24,17,    public CGLIBProxyRealMethod(MockitoMethodProxy methodProxy) {,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/CGLIBProxyRealMethod,24,18,        this.methodProxy = methodProxy;,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod,24,18,        this(new CGLIBProxyRealMethod(methodProxy));,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/CGLIBProxyRealMethod,24,19,    },0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,19,            MethodProxy methodProxy = mockitoMethodProxy.getMethodProxy();,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod,24,19,    },0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,20,            Field createInfoField = reflectOnCreateInfo(methodProxy);,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod,24,21,    public FilteredCGLIBProxyRealMethod(RealMethod realMethod) {,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,21,            createInfoField.setAccessible(true);,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod,24,22,        this.realMethod = realMethod;,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,22,            Object createInfo = createInfoField.get(methodProxy);,0.00613,0,-1,0
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod,24,23,    },0.00613,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,23,        List<LocalizedMatcher> lastMatchers = argumentMatcherStorage.pullLocalizedMatchers();,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,23,"            Field namingPolicyField = createInfo.getClass().getDeclaredField(""namingPolicy"");",0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,24,            namingPolicyField.setAccessible(true);,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,25,            if (namingPolicyField.get(createInfo) == null) {,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,26,"                namingPolicyField.set(createInfo, MockitoNamingPolicy.INSTANCE);",0.00613,0,-1,0
org/mockito/internal/invocation/MatchersBinder,24,31,        if (!lastMatchers.isEmpty()) {,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,31,        },0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,32,    },0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,37,        Class cglibMethodProxyClass = methodProxy.getClass();,0.00613,0,-1,0
org/mockito/internal/progress/ArgumentMatcherStorageImpl,24,40,        if (matcherStack.isEmpty()) {,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,41,        while (cglibMethodProxyClass != MethodProxy.class) {,0.00613,0,-1,0
org/mockito/internal/creation/cglib/CGLIBHacker,24,44,"        return cglibMethodProxyClass.getDeclaredField(""createInfo"");",0.00613,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,54,        MockitoMethodProxy mockitoMethodProxy = createMockitoMethodProxy(methodProxy);,0.00613,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,55,        cglibHacker.setMockitoNamingPolicy(mockitoMethodProxy);,0.00613,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,57,        MockitoMethod mockitoMethod = createMockitoMethod(method);,0.00613,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,59,        FilteredCGLIBProxyRealMethod realMethod = new FilteredCGLIBProxyRealMethod(mockitoMethodProxy);,0.00613,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,60,"        Invocation invocation = new InvocationImpl(proxy, mockitoMethod, args, SequenceNumber.next(), realMethod);",0.00613,0,-1,0
org/mockito/internal/handler/MockHandlerImpl,24,48,		if (invocationContainerImpl.hasAnswersForStubbing()) {,0.00612,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,50,        } else if (acrossJVMSerializationFeature.isWriteReplace(method)) {,0.00612,0,-1,0
org/mockito/internal/creation/AcrossJVMSerializationFeature,24,62,        return  method.getReturnType() == Object.class,0.00612,0,-1,0
org/mockito/internal/creation/AbstractMockitoMethodProxy,24,7,public abstract class AbstractMockitoMethodProxy implements MockitoMethodProxy {,0.00611,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,73,        if (mockSettings.isSerializable()),0.00611,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,79,        if (mockSettings.isSerializable()) {,0.00611,0,-1,0
org/mockito/internal/util/ObjectMethodsGuru,24,34,"        return method.getName().equals(""hashCode"")",0.0061,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,48,        } else if (objectMethodsGuru.isHashCodeMethod(method)) {,0.0061,0,-1,0
org/mockito/internal/invocation/InvocationMatcher,24,49,        return this.invocation;,0.0061,0,-1,0
org/mockito/internal/stubbing/InvocationContainerImpl,24,99,        return !answersForStubbing.isEmpty();,0.0061,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,11,public class DelegatingMethod implements MockitoMethod {,0.00608,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,15,    public DelegatingMethod(Method method) {,0.00608,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,16,"        assert method != null : ""Method cannot be null"";",0.00608,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,17,        this.method = method;,0.00608,0,-1,0
org/mockito/internal/creation/DelegatingMethod,24,18,    },0.00608,0,-1,0
org/mockito/internal/progress/ThreadSafeMockingProgress,24,69,        return threadSafely().getArgumentMatcherStorage();,0.00605,0,-1,0
org/mockito/internal/util/ObjectMethodsGuru,24,28,"        return method.getName().equals(""equals"")",0.00587,0,-1,0
org/mockito/internal/creation/MethodInterceptorFilter,24,46,        if (objectMethodsGuru.isEqualsMethod(method)) {,0.00587,0,-1,0
