dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,chart,org/jfree/chart/axis/CategoryAnchor,25,62,    public static final CategoryAnchor MIDDLE ,0,0,0,0,0,0,0,0,0,0,41,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAnchor,25,66,    public static final CategoryAnchor END ,2,0,0,0,0,3,0,2,0,8,38,1,16.0,0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,197,        super(label);,2,1,0,1,2,0,0,0,0,3,13,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,199,        this.lowerMargin = DEFAULT_AXIS_MARGIN;,0,0,0,0,0,0,0,0,0,0,39,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,200,        this.upperMargin = DEFAULT_AXIS_MARGIN;,4,0,1,0,0,0,0,0,0,7,39,6,16.0,0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,201,        this.categoryMargin = DEFAULT_CATEGORY_MARGIN;,8,0,0,0,0,0,4,4,0,17,46,3,16.0,0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,202,        this.maximumCategoryLabelLines = 1;,2,0,0,0,0,0,0,2,0,5,35,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,203,        this.maximumCategoryLabelWidthRatio = 0.0f;,0,0,0,0,0,0,0,0,0,0,43,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,205,        setTickMarksVisible(false);  // not supported by this axis type yet,0,0,0,1,2,0,4,2,0,6,67,11,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,207,        this.categoryLabelPositionOffset = 4;,0,0,0,0,0,0,0,0,0,0,37,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,208,        this.categoryLabelPositions = CategoryLabelPositions.STANDARD;,0,0,0,0,0,0,0,0,0,0,62,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,209,        this.tickLabelFontMap = new HashMap();,8,1,0,1,2,0,0,5,0,14,38,3,16.0,0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,210,        this.tickLabelPaintMap = new HashMap();,0,0,0,1,2,0,0,0,0,3,39,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,211,        this.categoryLabelToolTips = new HashMap();,0,0,0,1,2,0,0,0,0,3,43,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,213,    },0,0,0,0,1,0,0,0,0,1,1,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,224,        return this.lowerMargin;,0,0,0,0,0,1,0,0,0,1,24,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,250,        return this.upperMargin;,4,0,0,0,0,1,2,2,0,8,24,3,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,275,        return this.categoryMargin;,0,0,0,0,0,1,0,2,0,3,27,7,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,404,        if (category == null) {,0,0,0,1,3,0,0,0,0,4,23,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,407,        Font result = (Font) this.tickLabelFontMap.get(category);,0,0,0,2,4,0,0,0,0,6,57,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,409,        if (result == null) {,0,0,0,1,3,0,0,0,0,4,21,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,410,            result = getTickLabelFont();,0,0,0,1,2,0,0,0,0,3,28,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,412,        return result;,4,0,0,0,0,2,6,0,0,11,14,1,16.0,0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,447,        if (category == null) {,0,0,0,1,3,0,0,0,0,1,23,6,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,450,        Paint result = (Paint) this.tickLabelPaintMap.get(category);,2,0,0,2,4,0,0,0,0,2,60,4,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,452,        if (result == null) {,2,0,0,1,3,0,0,0,0,3,21,3,16.0,0,0,1
defect4j,chart,org/jfree/chart/axis/CategoryAxis,25,453,            result = getTickLabelPaint();,16,0,0,1,2,1,2,2,0,22,29,1,16.0,0,0,0
