dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict0,predict1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1300,        CategoryItemRenderer result = null;,1,0,0,0,0,0,0,1,0,2,35,4,16.0,0,0,0.0016437948627227,0.9983562051372766
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1301,        if (this.renderers.size() > index) {,2,1,0,2,5,2,1,0,0,6,36,4,16.0,0,0,0.0013769300434017019,0.9986230699565982
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1302,            result = (CategoryItemRenderer) this.renderers.get(index);,2,0,0,1,4,1,2,1,1,7,58,6,16.0,0,0,0.004030524800893299,0.995969475199106
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1304,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,16.0,0,0,0.00020822656672045734,0.9997917734332799
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1412,        CategoryItemRenderer result = null;,1,0,0,0,0,0,0,1,0,2,35,4,16.0,0,0,0.0016437948627227,0.9983562051372766
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1413,        for (int i = 0; i < this.datasets.size(); i++) {,4,1,0,2,5,3,1,0,1,7,48,4,16.0,0,0,0.0013227039476026597,0.9986772960523982
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1414,            if (this.datasets.get(i) == dataset) {,2,1,0,2,5,2,2,0,0,6,38,6,16.0,0,0,0.0028976061324116806,0.9971023938675884
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1415,                result = (CategoryItemRenderer) this.renderers.get(i);   ,2,0,0,1,4,1,2,1,1,7,54,8,16.0,0,0,0.009126993049557814,0.9908730069504418
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1416,                break;,0,0,0,0,0,1,0,0,0,1,6,2,16.0,0,0,8.149748915097113e-05,0.9999185025108491
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1419,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,16.0,0,0,0.00020822656672045734,0.9997917734332799
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1442,        return this.renderingOrder;,1,0,0,0,0,2,0,0,0,2,27,5,16.0,0,0,0.00028637682087962157,0.9997136231791204
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1533,        return this.domainGridlinesVisible;,1,0,0,0,0,2,0,0,0,2,35,5,16.0,0,0,0.00034552457928211923,0.9996544754207174
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1643,        return this.rangeGridlinesVisible;,1,0,0,0,0,2,0,0,0,2,34,5,16.0,0,0,0.0003382125346477193,0.999661787465353
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1670,        return this.rangeGridlineStroke;,1,0,0,0,0,2,0,0,0,2,32,5,16.0,0,0,0.00032347214739192917,0.9996765278526075
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1697,        return this.rangeGridlinePaint;,1,0,0,0,0,2,0,0,0,2,31,5,16.0,0,0,0.00031606275661718734,0.9996839372433833
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1749,        LegendItemCollection result = this.fixedLegendItems;,2,0,0,0,0,1,0,1,0,3,52,4,16.0,0,0,0.0018799964533138245,0.9981200035466854
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1750,        if (result == null) {,1,1,0,1,3,1,0,0,0,5,21,4,16.0,0,0,0.0004983511064645803,0.9995016488935354
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1751,            result = new LegendItemCollection();,1,0,0,1,2,1,0,1,2,6,36,6,16.0,0,0,0.006343324725901274,0.993656675274098
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1753,            int count = this.datasets.size();,2,0,0,1,2,2,1,0,0,5,33,7,16.0,0,0,0.0010977925820798747,0.9989022074179205
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1754,            for (int datasetIndex = 0; datasetIndex < count; datasetIndex++) {,4,1,0,1,3,2,0,0,1,6,66,6,16.0,0,0,0.0010854183311158965,0.9989145816688844
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1755,                CategoryDataset dataset = getDataset(datasetIndex);,1,0,0,1,2,0,2,1,1,6,51,8,16.0,0,0,0.019344361400572125,0.9806556385994277
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1756,                if (dataset != null) {,1,1,0,1,3,1,0,0,0,5,22,8,16.0,0,0,0.0019190446765449073,0.9980809553234559
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1757,                    CategoryItemRenderer renderer = getRenderer(datasetIndex);,1,0,0,1,2,0,2,1,1,6,58,10,16.0,0,0,0.06856131645605044,0.9314386835439493
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1758,                    if (renderer != null) {,1,1,0,1,3,1,0,0,0,5,23,10,16.0,0,0,0.0068595687528827925,0.9931404312471179
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1759,                        int seriesCount = dataset.getRowCount();,1,0,0,1,2,1,2,0,0,5,40,13,16.0,0,0,0.14310171849724163,0.8568982815027583
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1760,                        for (int i = 0; i < seriesCount; i++) {,4,1,0,1,3,2,0,0,1,6,39,12,16.0,0,0,0.03347823806106925,0.9665217619389297
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1761,                            LegendItem item = renderer.getLegendItem(,1,0,0,0,1,0,2,1,0,4,41,14,16.0,0,0,0.7251651693971276,0.27483483060287106
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1763,                            if (item != null) {,1,1,0,1,3,1,0,0,0,5,19,14,16.0,0,0,0.19584269129733745,0.804157308702661
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1764,                                result.add(item);,0,0,0,1,2,0,3,0,0,3,17,17,16.0,0,0,0.9564396677779802,0.04356033222201847
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1771,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,16.0,0,0,0.00020822656672045734,0.9997917734332799
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1836,        int count = this.rangeAxes.size();,2,0,0,1,2,2,1,0,0,5,34,5,16.0,0,0,0.000580144438065516,0.9994198555619342
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1837,        for (int axisIndex = 0; axisIndex < count; axisIndex++) {,4,1,0,1,3,2,0,0,1,6,57,4,16.0,0,0,0.0006509140034051043,0.9993490859965952
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1838,            ValueAxis yAxis = getRangeAxis(axisIndex);,1,0,0,1,2,0,2,1,1,6,42,6,16.0,0,0,0.0073102325020056955,0.9926897674979941
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1839,            if (yAxis != null) {,1,1,0,1,3,1,0,0,0,5,20,6,16.0,0,0,0.0007688926233455418,0.9992311073766547
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1840,                yAxis.configure();,0,0,0,1,2,0,2,0,0,3,18,9,16.0,0,0,0.004255862280278704,0.9957441377197221
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1843,        if (getParent() != null) {,0,1,0,2,5,1,1,0,1,6,26,4,16.0,0,0,0.0016978505237769243,0.9983021494762228
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1847,            PlotChangeEvent e = new PlotChangeEvent(this);,1,0,0,1,2,2,0,2,1,6,46,6,16.0,0,0,0.04601891580224175,0.9539810841977592
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1848,            e.setType(ChartChangeEventType.DATASET_UPDATED);,2,0,0,1,2,0,2,0,0,4,48,7,16.0,0,0,0.003551880594525877,0.996448119405474
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1849,            notifyListeners(e);,0,0,0,1,2,0,2,0,1,4,19,6,16.0,0,0,0.0015633037157316621,0.9984366962842688
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1852,    },0,0,0,0,1,0,0,0,0,1,1,2,16.0,0,0,0.00011325539012125233,0.9998867446098781
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1995,        Collection result = null;,1,0,0,0,0,0,0,1,0,2,25,4,16.0,0,0,0.001292589689388274,0.9987074103106123
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1996,        Integer key = new Integer(index);,2,0,0,1,2,1,0,2,1,6,33,4,16.0,0,0,0.028370228991298325,0.9716297710087022
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,1997,        if (layer == Layer.FOREGROUND) {,3,1,0,1,3,1,0,0,0,5,32,4,16.0,0,0,0.0005865230993916863,0.9994134769006082
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,2000,        else if (layer == Layer.BACKGROUND) {,3,1,0,1,3,2,0,0,0,5,37,5,16.0,0,0,0.0006100889554948921,0.9993899110445054
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,2001,            result = (Collection) this.backgroundDomainMarkers.get(key);,2,0,0,1,4,1,2,1,1,7,60,7,16.0,0,0,0.005959200483482232,0.9940407995165174
defect4j,chart,org/jfree/chart/plot/CategoryPlot,25,2003,        if (result != null) {,1,1,0,1,3,1,0,0,0,5,21,4,16.0,0,0,0.0004983511064645803,0.9995016488935354
