dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict0,predict1
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,497,"                exp = str.substring(expPos + 1, str.length() - 1);",2,2,0,1,4,0,4,0,1,6,50,8,1.0,0,0,0.6017538037997084,0.39824619620029167
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,522,                        Float f = NumberUtils.createFloat(numeric);,1,0,0,1,2,0,3,1,0,5,43,9,1.0,0,0,0.48976425137779445,0.5102357486222062
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,523,                        if (!(f.isInfinite() || (f.floatValue() == 0.0F && !allZeros))) {,1,3,0,4,11,1,4,0,2,7,65,9,1.0,0,0,0.9487975772927508,0.05120242270724747
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,526,                            return f;,1,0,0,0,0,1,0,0,0,2,9,11,1.0,0,0,0.2899551502085087,0.7100448497914917
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,536,                        Double d = NumberUtils.createDouble(numeric);,1,0,0,1,2,0,3,1,0,5,45,9,1.0,0,0,0.4927804508625922,0.5072195491374071
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,537,                        if (!(d.isInfinite() || (d.floatValue() == 0.0D && !allZeros))) {,1,3,0,4,11,1,4,0,2,7,65,9,1.0,0,0,0.9487975772927508,0.05120242270724747
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,538,                            return d;,1,0,0,0,0,1,0,0,0,2,9,11,1.0,0,0,0.2899551502085087,0.7100448497914917
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,544,                        return createBigDecimal(numeric);,0,0,0,1,2,1,2,0,1,5,33,9,1.0,0,0,0.5237945776433207,0.4762054223566801
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,556,            if (expPos > -1 && expPos < str.length() - 1) {,2,4,0,2,5,1,2,0,1,7,47,6,1.0,0,0,0.7235042207038735,0.276495779296127
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,557,"                exp = str.substring(expPos + 1, str.length());",2,1,0,1,4,0,4,0,1,6,46,8,1.0,0,0,0.5746974884488077,0.4253025115511928
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,559,                exp = null;,1,0,0,0,0,0,0,0,1,2,11,8,1.0,0,0,0.2992368982043852,0.7007631017956156
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,561,            if (dec == null && exp == null) {,2,3,0,1,3,1,0,0,0,5,33,6,1.0,0,0,0.5648572800399476,0.43514271996005394
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,564,                    return createInteger(str);,0,0,0,1,2,1,2,0,1,5,26,10,1.0,0,0,0.5019179957853712,0.4980820042146283
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,565,                } catch (NumberFormatException nfe) {,1,0,0,1,4,1,0,1,0,5,37,10,1.0,0,0,0.4294139354763631,0.5705860645236367
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,569,                    return createLong(str);,0,0,0,1,2,1,2,0,1,5,23,10,1.0,0,0,0.4925612937270247,0.507438706272976
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,570,                } catch (NumberFormatException nfe) {,1,0,0,1,4,1,0,1,0,5,37,10,1.0,0,0,0.4294139354763631,0.5705860645236367
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,573,                return createBigInteger(str);,0,0,0,1,2,1,2,0,1,5,29,8,1.0,0,0,0.514939999111709,0.4850600008882904
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,577,                boolean allZeros = isAllZeros(mant) && isAllZeros(exp);,1,1,0,1,4,1,4,0,2,7,55,9,1.0,0,0,0.6866941512306008,0.31330584876939793
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,579,                    Float f = createFloat(str);,1,0,0,1,2,0,2,1,1,6,27,10,1.0,0,0,0.41950486888484234,0.5804951311151575
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,580,                    if (!(f.isInfinite() || (f.floatValue() == 0.0F && !allZeros))) {,1,3,0,4,11,1,4,0,2,7,65,10,1.0,0,0,0.9482209584173947,0.051779041582606426
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,581,                        return f;,1,0,0,0,0,1,0,0,0,2,9,12,1.0,0,0,0.2850935017474584,0.7149064982525413
defect4j,lang,org/apache/commons/lang3/math/NumberUtils,27,587,                    Double d = createDouble(str);,1,0,0,1,2,0,2,1,1,6,29,10,1.0,0,0,0.42502803961125374,0.5749719603887449
defect4j,lang,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,28,57,"                    entityValue = Integer.parseInt(input.subSequence(start, end).toString(), 10);",1,0,0,1,6,0,7,0,1,5,77,10,0.5,0,0,0.6752593198228702,0.3247406801771314
defect4j,lang,org/apache/commons/lang3/text/translate/NumericEntityUnescaper,28,61,            },0,0,0,0,1,0,0,0,0,1,1,2,0.5,0,0,0.18732078594928683,0.8126792140507143
