dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict0,predict1
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,359,            registerTypeVariablesOn(getActualTypeArgumentFor(typeVariable));,0,0,0,2,4,0,3,0,2,4,64,5,36.0,0,0,0.03076382625228805,0.9692361737477123
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,360,        },0,0,0,0,1,0,0,0,0,1,1,2,36.0,0,0,0.0037443745205792875,0.9962556254794194
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,364,            if (rawType == null) {,1,1,0,1,3,1,0,0,0,5,22,5,36.0,0,0,0.0042791024027562935,0.995720897597243
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,365,                rawType = extractRawTypeOf(typeVariable);,1,0,0,1,2,0,2,0,2,5,41,7,36.0,0,0,0.09609737003057778,0.903902629969422
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,367,            return rawType;,1,0,0,0,0,1,0,0,0,2,15,5,36.0,0,0,0.00522285312594581,0.9947771468740543
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,371,            if (type instanceof Class) {,1,0,0,1,3,2,0,1,0,5,28,6,36.0,0,0,0.01751679674250585,0.9824832032574945
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,374,            if (type instanceof ParameterizedType) {,1,0,0,1,3,2,0,1,0,5,40,6,36.0,0,0,0.0204953900178287,0.9795046099821719
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,377,            if (type instanceof BoundedType) {,1,0,0,1,3,2,0,1,0,5,34,6,36.0,0,0,0.019399711905267774,0.9806002880947327
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,378,                return extractRawTypeOf(((BoundedType) type).firstBound());,1,0,0,3,8,1,2,1,1,7,59,7,36.0,0,0,0.004419143338113502,0.9955808566618858
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,380,            if (type instanceof TypeVariable) {,1,0,0,1,3,2,0,1,0,5,35,6,36.0,0,0,0.01964228077300493,0.980357719226995
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,385,                return extractRawTypeOf(contextualActualTypeParameters.get(type));,0,0,0,2,4,1,4,0,1,5,66,7,36.0,0,0,0.006475017972048106,0.993524982027952
defect4j,mockito,org/mockito/internal/util/reflection/GenericMetadataSupport,25,507,            return typeVariable.getBounds()[0]; //,0,0,0,1,4,1,2,0,0,4,38,7,36.0,0,0,0.009230649064280033,0.9907693509357193
defect4j,mockito,org/mockito/internal/stubbing/defaultanswers/ReturnsMoreEmptyValues,26,59,            return ret;,1,0,0,0,0,1,0,0,0,2,11,6,0.66667,0,0,0.004905596021633898,0.995094403978366
defect4j,mockito,org/mockito/exceptions/verification/WantedButNotInvoked,27,21,        return new RemoveFirstLine().of(super.toString());,1,0,0,2,6,3,1,1,1,7,50,5,1.0,0,0,0.04102226828905163,0.9589777317109484
defect4j,mockito,org/mockito/internal/configuration/DefaultInjectionEngine,28,38,                return -1;,0,0,0,0,0,1,0,0,1,2,10,10,1.0,0,0,0.035553383832480176,0.9644466161675205
