dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict0,predict1
defect4j,time,org/joda/time/field/PreciseDurationField,11,115,        return difference / iUnitMillis;,2,1,0,0,0,1,0,0,0,3,32,4,1.0,0,0,0.002463987696086896,0.9975360123039139
defect4j,time,org/joda/time/field/FieldUtils,11,100,        long diff = val1 - val2;,3,1,0,0,0,1,0,0,0,3,24,5,1.0,0,0,0.004299958194541542,0.9957000418054577
defect4j,time,org/joda/time/field/FieldUtils,11,102,        if ((val1 ^ diff) < 0 && (val1 ^ val2) < 0) {,4,5,0,2,7,1,0,0,0,5,45,4,1.0,0,0,0.4715684673414913,0.5284315326585095
defect4j,time,org/joda/time/field/FieldUtils,11,106,        return diff;,1,0,0,0,0,1,0,0,0,2,12,4,1.0,0,0,0.0010095482660164735,0.9989904517339836
defect4j,time,org/joda/time/field/FieldUtils,11,187,        if (Integer.MIN_VALUE <= value && value <= Integer.MAX_VALUE) {,6,3,0,1,3,1,0,0,0,5,63,4,1.0,0,0,0.33439480659615295,0.665605193403847
defect4j,time,org/joda/time/field/FieldUtils,11,188,            return (int) value;,1,0,0,1,2,2,0,0,0,4,19,7,1.0,0,0,0.0051041201627587554,0.9948958798372415
defect4j,time,org/joda/time/field/MillisDurationField,11,117,"        return FieldUtils.safeAdd(instant, value);",0,0,0,0,2,1,4,0,0,3,42,5,1.0,0,0,0.0005367817866240047,0.9994632182133764
defect4j,time,org/joda/time/field/PreciseDurationDateTimeField,12,129,            return (instant + 1) % iUnitMillis + iUnitMillis - 1;,3,4,0,1,2,1,0,0,0,5,53,6,4.0,0,0,0.08554631181027846,0.9144536881897231
defect4j,time,org/joda/time/Period,13,967,        int[] values = getValues();  // cloned,1,0,0,1,4,1,1,0,1,6,38,5,1.0,0,0,0.001630041401084909,0.9983699585989152
defect4j,time,org/joda/time/Period,13,968,"        getPeriodType().setIndexedField(this, PeriodType.MILLI_INDEX, values, millis);",2,0,0,1,4,1,4,0,1,6,78,5,1.0,0,0,0.000609162565963699,0.9993908374340368
defect4j,time,org/joda/time/Period,13,969,"        return new Period(values, getPeriodType());",1,0,0,1,4,2,1,1,2,7,43,4,1.0,0,0,0.010087071910709346,0.9899129280892912
defect4j,time,org/joda/time/IllegalFieldValueException,14,314,        return iMessage;,1,0,0,0,0,1,0,0,0,2,16,4,18.0,0,0,0.0010727067387386908,0.9989272932612614
defect4j,time,org/joda/time/field/FieldUtils,15,138,                return -val1;,1,0,0,0,0,1,0,0,1,3,13,5,0.08333,1,1,0.0012316273038680626,0.9987683726961314
defect4j,time,org/joda/time/format/DateTimeFormatter,16,698,        DateTimeParser parser = requireParser();,1,0,0,1,2,0,1,1,1,6,40,4,6.125,0,0,0.003584669762361945,0.9964153302376378
defect4j,time,org/joda/time/format/DateTimeFormatter,16,699,        if (instant == null) {,1,1,0,1,3,1,0,0,0,5,22,4,6.125,0,0,0.001724473762792128,0.9982755262372084
defect4j,time,org/joda/time/format/DateTimeFormatter,16,703,        long instantMillis = instant.getMillis();,1,0,0,1,2,1,2,0,0,5,41,5,6.125,0,0,0.0012778030410684755,0.9987221969589316
defect4j,time,org/joda/time/format/DateTimeFormatter,16,704,        Chronology chrono = instant.getChronology();,1,0,0,1,2,0,2,1,0,5,44,4,6.125,0,0,0.0027876419825104137,0.9972123580174898
defect4j,time,org/joda/time/format/DateTimeFormatter,16,705,        long instantLocal = instantMillis + chrono.getZone().getOffset(instantMillis);,2,1,0,1,4,1,4,0,0,6,78,5,6.125,0,0,0.00069645945192285,0.9993035405480776
defect4j,time,org/joda/time/format/DateTimeFormatter,16,706,        chrono = selectChronology(chrono);,1,0,0,1,2,0,2,0,2,5,34,4,6.125,0,0,0.002087256679019065,0.9979127433209806
defect4j,time,org/joda/time/format/DateTimeFormatter,16,708,        DateTimeParserBucket bucket = new DateTimeParserBucket(,1,0,0,0,1,1,0,2,1,5,55,4,6.125,0,0,0.005552626828074856,0.9944473731719253
defect4j,time,org/joda/time/format/DateTimeFormatter,16,710,"        int newPos = parser.parseInto(bucket, text, position);",1,0,0,0,2,1,5,0,0,4,54,5,6.125,0,0,0.00038733820359734036,0.9996126617964026
defect4j,time,org/joda/time/format/DateTimeFormatter,16,711,"        instant.setMillis(bucket.computeMillis(false, text));",0,0,0,0,4,0,5,0,1,3,53,5,6.125,0,0,0.00046320613740271916,0.9995367938625965
defect4j,time,org/joda/time/format/DateTimeFormatter,16,712,        if (iOffsetParsed && bucket.getOffsetInteger() != null) {,1,2,0,2,5,1,2,0,0,6,57,4,6.125,0,0,0.001541598660947711,0.9984584013390514
