project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/joda/time/DateTime,19,331,"        super(year, monthOfYear, dayOfMonth,",0.06667,0,1,0
org/joda/time/DateTime,19,333,    },0.06667,0,1,0
org/joda/time/tz/CachedDateTimeZone,19,210,            return iNextInfo.getOffset(millis);,0.00877,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2116,                buf.append(iZeroOffsetPrintText);,0.008,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2117,                return;,0.008,0,-1,0
org/joda/time/base/AbstractInstant,19,424,        return ISODateTimeFormat.dateTime().print(this);,0.00446,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1924,                if (buf != null) {,0.00422,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1925,                    while (--minDigits >= 0) {,0.00422,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1926,                        buf.append('0');,0.00422,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1933,                return;,0.00422,0,-1,0
org/joda/time/chrono/BasicGJChronology,19,190,                    dayOfYear++;,0.00412,0,-1,0
org/joda/time/base/BaseDateTime,19,225,    },0.00341,0,-1,0
org/joda/time/base/BaseDateTime,19,223,"        this(year, monthOfYear, dayOfMonth, hourOfDay,",0.00339,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,953,        if (dt == null) {,0.00319,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,954,            dt = new DateTimeFormatterBuilder(),0.00319,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,959,        return dt;,0.00319,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,916,        if (tt == null) {,0.0031,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,917,            tt = new DateTimeFormatterBuilder(),0.0031,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,922,        return tt;,0.0031,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1875,"                printTo(buf, null, instant, chrono);",0.00302,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1878,            },0.00302,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1879,        },0.00302,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,879,        if (t == null) {,0.00302,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,880,            t = new DateTimeFormatterBuilder(),0.00302,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,885,        return t;,0.00302,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1482,        if (hmsf == null) {,0.00299,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1483,            hmsf = new DateTimeFormatterBuilder(),0.00299,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1490,        return hmsf;,0.00299,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1691,        if (fse == null) {,0.00299,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1692,            fse = new DateTimeFormatterBuilder(),0.00299,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1699,        return fse;,0.00299,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2112,            if (displayZone == null) {,0.00294,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2115,            if (displayOffset == 0 && iZeroOffsetPrintText != null) {,0.00294,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1908,            DateTimeField field = iFieldType.getField(chrono);,0.00289,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1909,            int minDigits = iMinDigits;,0.00289,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1913,                fraction = field.remainder(instant);,0.00289,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1921,            },0.00289,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1923,            if (fraction == 0) {,0.00289,0,-1,0
org/joda/time/field/PreciseDurationDateTimeField,19,127,            return instant % iUnitMillis;,0.00276,0,-1,0
org/joda/time/field/PreciseDurationDateTimeField,19,126,        if (instant >= 0) {,0.00274,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,866,        return yearMonthDay();,0.00258,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1358,        if (ymd == null) {,0.00255,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1359,            ymd = new DateTimeFormatterBuilder(),0.00255,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1365,        return ymd;,0.00255,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2621,                locale = Locale.getDefault();,0.00253,0,-1,0
org/joda/time/format/FormatUtils,19,68,            for (; size > 2; size--) {,0.00244,0,-1,0
org/joda/time/format/FormatUtils,19,74,            int d = ((value + 1) * 13421772) >> 27;,0.00244,0,-1,0
org/joda/time/format/FormatUtils,19,75,            buf.append((char) (d + '0'));,0.00244,0,-1,0
org/joda/time/format/FormatUtils,19,77,            buf.append((char) (value - (d << 3) - (d << 1) + '0'));,0.00244,0,-1,0
org/joda/time/format/FormatUtils,19,78,        } else {,0.00244,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1180,            buf.append(iValue);,0.00243,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1181,        },0.00243,0,-1,0
org/joda/time/DateTimeFieldType,19,522,                    return chronology.secondOfDay();,0.00242,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2614,            DateTimePrinter[] elements = iPrinters;,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2615,            if (elements == null) {,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2619,            if (locale == null) {,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2624,            int len = elements.length;,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2625,            for (int i = 0; i < len; i++) {,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2626,"                elements[i].printTo(buf, instant, chrono, displayOffset, displayZone, locale);",0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,2628,        },0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1437,                DateTimeField field = iFieldType.getField(chrono);,0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1438,"                FormatUtils.appendPaddedInteger(buf, field.get(instant), iMinPrintedDigits);",0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1441,            },0.00241,0,-1,0
org/joda/time/format/DateTimeFormatterBuilder,19,1442,        },0.00241,0,-1,0
org/joda/time/format/DateTimeFormatter,19,581,        StringBuffer buf = new StringBuffer(requirePrinter().estimatePrintedLength());,0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,582,"        printTo(buf, instant);",0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,583,        return buf.toString();,0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,458,        long millis = DateTimeUtils.getInstantMillis(instant);,0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,459,        Chronology chrono = DateTimeUtils.getInstantChronology(instant);,0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,460,"        printTo(buf, millis, chrono);",0.00239,0,-1,0
org/joda/time/format/DateTimeFormatter,19,461,    },0.00239,0,-1,0
org/joda/time/format/FormatUtils,19,83,                digits = 4;,0.00236,0,-1,0
org/joda/time/format/FormatUtils,19,82,            } else if (value < 10000) {,0.00236,0,-1,0
org/joda/time/format/DateTimeFormatter,19,617,        DateTimePrinter printer = requirePrinter();,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,618,        chrono = selectChronology(chrono);,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,621,        DateTimeZone zone = chrono.getZone();,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,622,        int offset = zone.getOffset(instant);,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,623,        long adjustedInstant = instant + offset;,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,624,        if ((instant ^ adjustedInstant) < 0 && (instant ^ offset) >= 0) {,0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,630,"        printer.printTo(buf, adjustedInstant, chrono.withUTC(), offset, zone, iLocale);",0.00235,0,-1,0
org/joda/time/format/DateTimeFormatter,19,631,    },0.00235,0,-1,0
org/joda/time/format/FormatUtils,19,80,            if (value < 1000) {,0.00233,0,-1,0
org/joda/time/format/FormatUtils,19,87,            for (; size > digits; size--) {,0.00233,0,-1,0
org/joda/time/format/FormatUtils,19,90,            buf.append(Integer.toString(value));,0.00233,0,-1,0
org/joda/time/format/ISODateTimeFormat,19,1653,        if (lte == null) {,0.00216,0,-1,0
