dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,other,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line
defect4j,chart,org/jfree/chart/plot/Plot,26,1385,            if (orientation == PlotOrientation.HORIZONTAL) {,3,1,0,1,3,1,0,0,0,5,48,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,736,        if (space == null) {,1,1,0,1,3,1,0,0,0,5,20,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,741,        if (!isVisible()) {,0,0,0,2,5,1,1,0,2,5,19,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,746,        double tickLabelHeight = 0.0;,1,0,0,0,0,1,0,0,0,2,29,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,747,        double tickLabelWidth = 0.0;,1,0,0,0,0,1,0,0,0,2,28,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,748,        if (isTickLabelsVisible()) {,0,0,0,2,5,1,1,0,1,5,28,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,749,            g2.setFont(getTickLabelFont());,0,0,0,2,4,0,3,0,1,4,31,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,750,            AxisState state = new AxisState();,1,0,0,1,2,1,0,2,1,6,34,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,752,"            refreshTicks(g2, state, plotArea, edge);",0,0,0,0,2,0,5,0,1,3,40,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,753,            if (edge == RectangleEdge.TOP) {,3,1,0,1,3,1,0,0,0,5,32,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,756,            else if (edge == RectangleEdge.BOTTOM) {,3,1,0,1,3,2,0,0,0,5,40,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,768,"        Rectangle2D labelEnclosure = getLabelEnclosure(g2, edge);",1,0,0,0,2,0,3,1,1,5,57,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,769,        double labelHeight = 0.0;,1,0,0,0,0,1,0,0,0,2,25,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,770,        double labelWidth = 0.0;,1,0,0,0,0,1,0,0,0,2,24,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,771,        if (RectangleEdge.isTopOrBottom(edge)) {,0,0,0,2,5,1,3,0,0,4,40,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,781,        return space;,1,0,0,0,0,1,0,0,0,2,13,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,973,        List ticks = new java.util.ArrayList();,4,0,0,1,2,1,0,1,1,6,39,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,976,        if (dataArea.getHeight() <= 0.0 || dataArea.getWidth() < 0.0) {,0,3,0,2,7,1,4,0,0,5,63,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,980,        CategoryPlot plot = (CategoryPlot) getPlot();,1,0,0,1,4,0,1,2,1,6,45,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,981,        List categories = plot.getCategoriesForAxis(this);,1,0,0,1,2,1,2,1,0,6,50,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,982,        double max = 0.0;,1,0,0,0,0,1,0,0,0,2,17,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,984,        if (categories != null) {,1,1,0,1,3,1,0,0,0,5,25,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,985,            CategoryLabelPosition position ,1,0,0,0,0,0,0,1,0,2,30,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,987,            float r = this.maximumCategoryLabelWidthRatio;,2,0,0,0,0,2,0,0,0,2,46,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,988,            if (r <= 0.0) {,1,1,0,1,3,1,0,0,0,5,15,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,989,                r = position.getWidthRatio();   ,1,0,0,1,2,0,2,0,1,5,29,8,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,992,            float l = 0.0f;,1,0,0,0,0,1,0,0,0,2,15,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,993,            if (position.getWidthType() == CategoryLabelWidthType.CATEGORY) {,2,1,0,2,5,1,2,0,0,6,65,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,1005,            int categoryIndex = 0;,1,0,0,0,0,1,0,0,0,2,22,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,1006,            Iterator iterator = categories.iterator();,1,0,0,1,2,0,2,1,0,5,42,6,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,1007,            while (iterator.hasNext()) {,0,0,0,2,5,1,2,0,0,4,28,7,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,1026,        state.setMax(max);,0,0,0,1,2,0,3,0,0,3,18,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryAxis,26,1027,        return ticks;,1,0,0,0,0,1,0,0,0,2,13,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/AxisState,26,184,        return this.max;,1,0,0,0,0,2,0,0,0,2,16,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/AxisState,26,193,        this.max = max;,2,0,0,0,0,1,0,0,1,3,15,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/AxisState,26,194,    },0,0,0,0,1,0,0,0,0,1,1,2,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPositions,26,289,        CategoryLabelPosition result = null;,1,0,0,0,0,0,0,1,0,2,36,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPositions,26,290,        if (edge == RectangleEdge.TOP) {,3,1,0,1,3,1,0,0,0,5,32,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPositions,26,293,        else if (edge == RectangleEdge.BOTTOM) {,3,1,0,1,3,2,0,0,0,5,40,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPositions,26,302,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPosition,26,219,        return this.widthType;   ,1,0,0,0,0,2,0,0,0,2,22,5,242.0,0,0
defect4j,chart,org/jfree/chart/axis/CategoryLabelPosition,26,228,        return this.widthRatio;   ,1,0,0,0,0,2,0,0,0,2,23,5,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,708,        return getDomainAxisLocation(0);,0,0,0,1,2,1,1,0,1,5,32,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,721,        AxisLocation result = null;,1,0,0,0,0,0,0,1,0,2,27,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,722,        if (index < this.domainAxisLocations.size()) {,2,1,0,2,5,2,1,0,0,6,46,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,723,            result = (AxisLocation) this.domainAxisLocations.get(index);,2,0,0,1,4,1,2,1,1,7,60,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,725,        if (result == null) {,1,1,0,1,3,1,0,0,0,5,21,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,728,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,815,        RectangleEdge result = null;,1,0,0,0,0,0,0,1,0,2,28,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,816,        AxisLocation location = getDomainAxisLocation(index);,1,0,0,1,2,0,2,1,1,6,53,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,817,        if (location != null) {,1,1,0,1,3,1,0,0,0,5,23,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,818,"            result = Plot.resolveDomainAxisLocation(location, this.orientation);",2,0,0,0,2,1,3,0,1,5,68,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,823,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,976,        AxisLocation result = null;,1,0,0,0,0,0,0,1,0,2,27,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,977,        if (index < this.rangeAxisLocations.size()) {,2,1,0,2,5,2,1,0,0,6,45,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,978,            result = (AxisLocation) this.rangeAxisLocations.get(index);,2,0,0,1,4,1,2,1,1,7,59,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,980,        if (result == null) {,1,1,0,1,3,1,0,0,0,5,21,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,983,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1067,        AxisLocation location = getRangeAxisLocation(index);,1,0,0,1,2,0,2,1,1,6,52,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1068,"        RectangleEdge result = Plot.resolveRangeAxisLocation(location, ",1,0,0,0,1,0,3,1,0,4,62,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1070,        if (result == null) {,1,1,0,1,3,1,0,0,0,5,21,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1073,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1727,        LegendItemCollection result = this.fixedLegendItems;,2,0,0,0,0,1,0,1,0,3,52,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1728,        if (result == null) {,1,1,0,1,3,1,0,0,0,5,21,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1729,            result = new LegendItemCollection();,1,0,0,1,2,1,0,1,2,6,36,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1731,            int count = this.datasets.size();,2,0,0,1,2,2,1,0,0,5,33,7,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1732,            for (int datasetIndex = 0; datasetIndex < count; datasetIndex++) {,4,1,0,1,3,2,0,0,1,6,66,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1733,                CategoryDataset dataset = getDataset(datasetIndex);,1,0,0,1,2,0,2,1,1,6,51,8,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1734,                if (dataset != null) {,1,1,0,1,3,1,0,0,0,5,22,8,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,1749,        return result;,1,0,0,0,0,1,0,0,0,2,14,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2410,        if (space == null) {,1,1,0,1,3,1,0,0,0,5,20,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2415,        if (this.fixedDomainAxisSpace != null) {,1,1,0,1,3,2,0,0,0,5,40,4,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2431,            RectangleEdge domainEdge = Plot.resolveDomainAxisLocation(,1,0,0,0,1,0,2,1,0,4,58,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2433,            if (this.drawSharedDomainAxis) {,1,0,0,1,3,2,0,0,0,4,32,7,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2439,            for (int i = 0; i < this.domainAxes.size(); i++) {,4,1,0,2,5,3,1,0,1,7,50,6,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2440,                Axis xAxis = (Axis) this.domainAxes.get(i);,2,0,0,1,4,1,2,2,0,6,43,8,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2441,                if (xAxis != null) {,1,1,0,1,3,1,0,0,0,5,20,8,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2442,                    RectangleEdge edge = getDomainAxisEdge(i);,1,0,0,1,2,0,2,1,1,6,42,10,242.0,0,0
defect4j,chart,org/jfree/chart/plot/CategoryPlot,26,2443,"                    space = xAxis.reserveSpace(g2, this, plotArea, edge, space);",1,0,0,0,2,1,6,0,1,5,60,10,242.0,0,0
