dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1613,"        setRenderer(0, renderer, true);",0,0,0,1,2,0,4,0,0,5,31,5,0.25,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1614,    },0,0,0,0,1,0,0,0,0,1,1,2,0.25,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1665,        CategoryItemRenderer existing,2,0,0,0,0,0,0,2,0,4,29,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1667,        if (existing != null) {,2,1,0,1,3,0,0,0,0,3,23,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1672,"        this.renderers.set(index, renderer);",2,0,0,1,2,0,6,0,0,8,36,5,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1673,        if (renderer != null) {,2,1,0,1,3,0,0,0,0,3,23,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1674,            renderer.setPlot(this);,0,0,0,1,2,0,4,0,0,4,23,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1675,            renderer.addChangeListener(this);,0,0,0,1,2,0,4,0,0,4,33,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1678,        configureDomainAxes();,0,0,0,1,2,0,2,0,0,2,22,5,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1679,        configureRangeAxes();,0,0,0,1,2,0,2,0,0,2,21,5,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1681,        if (notify) {,2,0,0,1,3,0,0,0,0,2,13,4,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1682,            fireChangeEvent();,0,0,0,1,2,0,2,0,0,2,18,7,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1684,    },0,0,0,0,1,0,0,0,0,1,1,2,0.14286,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,567,"        this(null, null, null, null);",0,0,0,1,2,0,0,0,0,3,29,2,0.07692,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,568,    },0,0,0,0,1,0,0,0,0,1,1,2,0.07692,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1339,"        setDataset(0, dataset);",0,0,0,1,2,0,4,0,0,4,23,5,0.07143,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1340,    },0,0,0,0,1,0,0,0,0,1,1,2,0.07143,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1358,            dataset.addChangeListener(this);,0,0,0,1,2,0,4,0,0,4,32,7,0.04762,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1045,            Plot parent = getParent();,2,0,0,1,2,0,2,2,0,6,26,6,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1046,            if (parent instanceof CategoryPlot) {,2,0,0,1,3,0,0,2,0,4,37,7,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1352,        CategoryDataset existing = (CategoryDataset) this.datasets.get(index);,4,0,0,2,4,0,4,4,0,12,70,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1353,        if (existing != null) {,2,1,0,1,3,0,0,0,0,3,23,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1356,"        this.datasets.set(index, dataset);",2,0,0,1,2,0,6,0,0,8,34,5,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1357,        if (dataset != null) {,2,1,0,1,3,0,0,0,0,3,22,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1362,"        DatasetChangeEvent event = new DatasetChangeEvent(this, dataset,",4,0,0,0,1,0,0,4,0,8,64,4,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1365,        datasetChanged(event);,0,0,0,1,2,0,4,0,0,4,22,5,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1367,    },0,0,0,0,1,0,0,0,0,1,1,2,0.04545,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,201,"        this(true, true);",0,0,0,1,2,0,0,0,0,2,17,4,0.03704,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,202,    },0,0,0,0,1,0,0,0,0,1,1,2,0.03704,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1791,        LegendItemCollection result = new LegendItemCollection();,2,0,0,1,2,0,0,4,0,6,57,4,0.02703,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1792,        if (this.plot == null) {,2,1,0,1,3,0,0,0,0,3,24,4,0.02703,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1795,        int index = this.plot.getIndexOf(this);,4,0,0,1,2,0,2,0,0,6,39,5,0.02703,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1796,        CategoryDataset dataset = this.plot.getDataset(index);,4,0,0,1,2,0,4,2,0,10,54,4,0.02703,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1797,        if (dataset != null) {,2,1,0,1,3,0,0,0,0,3,22,4,0.02703,1,0,-1
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1798,            return result;,2,0,0,0,0,1,0,0,0,2,14,6,0.02703,0,0,-1
defect4j,chart,org/jfree/chart/plot/CategoryPlot,1,1727,        return this.renderers.indexOf(renderer);,2,0,0,1,2,1,4,0,0,6,40,5,0.02703,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,259,"        addValue(new Double(value), rowKey, columnKey);",2,0,0,2,4,0,6,2,0,10,47,5,0.02326,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,260,    },0,0,0,0,1,0,0,0,0,1,1,2,0.02326,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,211,        super();,0,0,0,1,2,0,0,0,0,3,8,2,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,212,        this.seriesLinesVisible = new BooleanList();,2,0,0,1,2,0,0,2,0,5,44,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,213,        this.baseLinesVisible = lines;,4,0,0,0,0,0,0,0,0,5,30,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,214,        this.seriesShapesVisible = new BooleanList();,2,0,0,1,2,0,0,2,0,5,45,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,215,        this.baseShapesVisible = shapes;,4,0,0,0,0,0,0,0,0,5,32,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,216,        this.seriesShapesFilled = new BooleanList();,2,0,0,1,2,0,0,2,0,5,44,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,217,        this.baseShapesFilled = true;,2,0,0,0,0,0,0,0,0,4,29,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,218,        this.useFillPaint = false;,2,0,0,0,0,0,0,0,0,4,26,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,219,        this.drawOutlines = true;,2,0,0,0,0,0,0,0,0,4,25,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,220,        this.useOutlinePaint = false;,2,0,0,0,0,0,0,0,0,4,29,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,221,        this.useSeriesOffset = false;  // preserves old behaviour,2,0,0,0,0,0,0,0,0,4,57,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,222,        this.itemMargin = 0.0;,2,0,0,0,0,0,0,0,0,3,22,4,0.02,0,0,-1
defect4j,chart,org/jfree/chart/renderer/category/LineAndShapeRenderer,1,223,    },0,0,0,0,1,0,0,0,0,1,1,2,0.02,0,0,-1
defect4j,chart,org/jfree/data/general/AbstractDataset,1,191,            if (listeners[i] == DatasetChangeListener.class) {,0,1,1,2,5,0,0,2,0,7,50,6,0.01724,0,0,-1
defect4j,chart,org/jfree/data/general/AbstractDataset,1,192,                ((DatasetChangeListener) listeners[i + 1]).datasetChanged(,2,1,1,3,7,0,2,2,0,9,58,9,0.01724,0,0,-1
defect4j,chart,org/jfree/chart/LegendItemCollection,1,107,        return this.items.size();,2,0,0,1,2,1,2,0,0,4,25,5,0.01667,0,0,-1
defect4j,chart,org/jfree/chart/LegendItemCollection,1,68,    public LegendItemCollection() {,2,0,0,1,3,1,0,0,0,3,31,2,0.01563,0,0,-1
defect4j,chart,org/jfree/chart/LegendItemCollection,1,69,        this.items = new java.util.ArrayList();,8,0,0,1,2,0,0,0,0,9,39,4,0.01563,0,0,-1
defect4j,chart,org/jfree/chart/LegendItemCollection,1,70,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01563,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,243,"        this.data.addObject(new SelectableValue(value), rowKey, columnKey);",4,0,0,2,4,0,6,2,0,12,67,5,0.01266,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,244,        fireDatasetChanged(new DatasetChangeInfo());,0,0,0,2,4,0,2,2,0,4,44,5,0.01266,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,246,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01266,0,0,-1
defect4j,chart,org/jfree/data/category/AbstractCategoryDataset,1,64,        super();,0,0,0,1,2,0,0,0,0,3,8,2,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/AbstractCategoryDataset,1,65,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/AbstractCategoryDataset,1,87,        this.selectionState = state;,4,0,0,0,0,0,0,0,0,5,28,4,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/AbstractCategoryDataset,1,88,        fireDatasetChanged(new DatasetChangeInfo());,0,0,0,2,4,0,2,2,0,4,44,5,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/AbstractCategoryDataset,1,90,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,80,    public DefaultCategoryDataset() {,2,0,0,1,3,1,0,0,0,3,33,2,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,81,        this.data = new KeyedObjects2D();,2,0,0,1,2,0,0,2,0,5,33,4,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,83,        setSelectionState(this);,0,0,0,1,2,0,2,0,0,2,24,5,0.01053,0,0,-1
defect4j,chart,org/jfree/data/category/DefaultCategoryDataset,1,84,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01053,0,0,-1
defect4j,chart,org/jfree/data/KeyedObjects2D,1,257,"        setObject(object, rowKey, columnKey);",0,0,0,1,2,0,8,0,0,8,37,5,0.01031,0,0,-1
defect4j,chart,org/jfree/data/KeyedObjects2D,1,258,    },0,0,0,0,1,0,0,0,0,1,1,2,0.01031,0,0,-1
defect4j,chart,org/jfree/data/SelectableValue,1,65,"        this(value, false);",2,0,0,1,2,0,0,0,0,3,19,4,0.0099,0,0,-1
defect4j,chart,org/jfree/data/SelectableValue,1,66,    },0,0,0,0,1,0,0,0,0,1,1,2,0.0099,0,0,-1
defect4j,chart,org/jfree/data/SelectableValue,1,74,"    public SelectableValue(Number value, boolean selected) {",6,0,0,1,3,1,0,2,0,9,56,2,0.0099,0,0,-1
defect4j,chart,org/jfree/data/SelectableValue,1,75,        this.value = value;,4,0,0,0,0,0,0,0,0,5,19,4,0.0099,0,0,-1
defect4j,chart,org/jfree/data/SelectableValue,1,76,        this.selected = selected;,4,0,0,0,0,0,0,0,0,5,25,4,0.0099,0,0,-1
