dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,other,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,chart,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer,1,1797,        if (dataset != null) {,1,1,0,1,3,1,0,0,0,5,22,4,0.02703,1,0,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,726,"        return iterateDomainBounds(dataset, true);",0,0,0,0,2,1,2,0,2,4,42,4,0.33333,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,780,            return null;,0,0,0,0,0,1,0,0,0,1,12,2,0.33333,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,1244,                    if (!Double.isNaN(lvalue)) {,0,0,0,2,5,1,3,0,1,5,28,10,0.125,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,1247,                    if (!Double.isNaN(uvalue)) {,0,0,0,2,5,1,3,0,1,5,28,10,0.125,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,1252,        },0,0,0,0,1,0,0,0,0,1,1,2,0.125,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,757,                    if (!Double.isNaN(lvalue)) {,0,0,0,2,5,1,3,0,1,5,28,10,0.1,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,760,                    if (!Double.isNaN(uvalue)) {,0,0,0,2,5,1,3,0,1,5,28,10,0.1,1,1,-1
defect4j,chart,org/jfree/data/general/DatasetUtilities,2,765,        },0,0,0,0,1,0,0,0,0,1,1,2,0.1,1,1,-1
defect4j,chart,org/jfree/data/time/TimeSeries,3,1057,        copy.data = new java.util.ArrayList();,5,0,0,1,2,1,0,0,2,5,38,4,0.5,1,1,-1
defect4j,chart,org/jfree/data/xy/XYSeries,5,564,"                this.data.add(-index - 1, new XYDataItem(x, y));",4,1,0,0,4,2,1,1,2,7,48,9,1.0,1,1,-1
