project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/apache/commons/math/linear/BigMatrixImpl,98,986,        if (v.length != this.getColumnDimension()) {,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,989,        final int nRows = this.getRowDimension();,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,990,        final int nCols = this.getColumnDimension();,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,991,        final BigDecimal[] out = new BigDecimal[v.length];,0.33333,1,,0
org/apache/commons/math/linear/BigMatrixImpl,98,992,        for (int row = 0; row < nRows; row++) {,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,993,            BigDecimal sum = ZERO;,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,994,            for (int i = 0; i < nCols; i++) {,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,995,                sum = sum.add(data[row][i].multiply(v[i]));,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,997,            out[row] = sum;,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,774,        final int nRows = this.getRowDimension();,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,775,        final int nCols = this.getColumnDimension();,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,776,        if (v.length != nCols) {,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,779,        final double[] out = new double[v.length];,0.33333,1,,0
org/apache/commons/math/linear/RealMatrixImpl,98,780,        for (int row = 0; row < nRows; row++) {,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,781,            final double[] dataRow = data[row];,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,782,            double sum = 0;,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,783,            for (int i = 0; i < nCols; i++) {,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,784,                sum += dataRow[i] * v[i];,0.33333,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,786,            out[row] = sum;,0.33333,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,154,                if (d[r].length != nCols) {,0.05263,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,138,"    public BigMatrixImpl(BigDecimal[][] d, boolean copyArray) {",0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,139,        if (copyArray) {,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,142,            if (d == null) {,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,145,            final int nRows = d.length;,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,146,            if (nRows == 0) {,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,149,            final int nCols = d[0].length;,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,150,            if (nCols == 0) {,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,153,            for (int r = 1; r < nRows; r++) {,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,158,            data = d;,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,160,        lu = null;,0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,161,    },0.04762,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,947,        return data.length;,0.03226,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,956,        return data[0].length;,0.03226,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,56,    protected BigDecimal data[][] = null;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,61,    protected BigDecimal lu[][] = null;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,64,    protected int[] permutation = null;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,67,    protected int parity = 1;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,70,    private int roundingMode = BigDecimal.ROUND_HALF_UP;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,73,    private int scale = 64;,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,76,    private static final BigDecimal TOO_SMALL = new BigDecimal(10E-12);,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,79,    static final BigDecimal ZERO = new BigDecimal(0);,0.03125,0,,0
org/apache/commons/math/linear/BigMatrixImpl,98,81,    static final BigDecimal ONE = new BigDecimal(1);,0.03125,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,146,                if (d[r].length != nCols) {,0.02,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,141,            final int nCols = d[0].length;,0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,142,            if (nCols == 0) {,0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,145,            for (int r = 1; r < nRows; r++) {,0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,150,            data = d;,0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,152,        lu = null;,0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,153,    },0.01887,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,130,"    public RealMatrixImpl(double[][] d, boolean copyArray) {",0.01852,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,131,        if (copyArray) {,0.01852,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,134,            if (d == null) {,0.01852,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,137,            final int nRows = d.length;,0.01852,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,138,            if (nRows == 0) {,0.01852,0,,0
org/apache/commons/math/linear/RealMatrixImpl,98,750,        return data[0].length;,0.01299,0,,0
