dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,other,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line
defect4j,mockito,org/mockito/Matchers,38,202,        return (T) reportMatcher(Any.ANY).returnNull();,2,0,0,1,6,1,2,1,1,7,47,5,0.25,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,41,            return m.matches(arg);,0,0,0,1,2,1,3,0,0,4,22,7,0.14286,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,25,        List<Integer> suspicious = new LinkedList<Integer>();,1,0,0,1,2,1,0,4,1,6,53,4,0.12903,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,26,        int i = 0;,1,0,0,0,0,1,0,0,0,2,10,5,0.12903,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,27,        for (Matcher m : matchers) {,2,0,0,1,3,1,0,1,0,5,28,4,0.12903,0,0
defect4j,mockito,org/mockito/internal/matchers/Any,38,18,        return true;,0,0,0,0,0,1,0,0,1,2,12,4,0.125,0,0
defect4j,mockito,org/mockito/internal/matchers/Any,38,13,    public static final Any ANY = new Any();    ,1,0,0,1,2,4,0,2,4,6,40,2,0.11111,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,15,public class ArgumentMatchingTool {,1,0,0,0,1,2,0,0,1,4,35,1,0.11111,0,0
defect4j,mockito,org/mockito/internal/matchers/Any,38,15,    private Any() {},1,0,0,1,4,1,0,0,1,5,16,2,0.11111,0,0
defect4j,mockito,org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool,38,21,        if (matchers.size() != arguments.length) {,2,1,0,2,5,1,2,0,0,6,42,4,0.11111,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,23,        return wanted.equals(actual);,0,0,0,1,2,1,3,0,0,4,29,5,0.11111,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,35,            text+=object.toString();,1,0,0,1,2,0,2,0,1,5,24,6,0.11111,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,27,        description.appendText(describe(wanted));,0,0,0,2,4,0,4,0,1,4,41,5,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,28,    },0,0,0,0,1,0,0,0,0,1,1,2,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,31,        String text = quoting();,1,0,0,1,2,0,1,1,1,6,24,4,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,32,        if (object == null) {,1,1,0,1,3,1,0,0,0,5,21,4,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,37,        text+= quoting();,1,0,0,1,2,0,1,0,2,5,17,4,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,38,        return text;,1,0,0,0,0,1,0,0,0,2,12,4,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,42,        if (wanted instanceof String) {,1,0,0,1,3,2,0,1,0,5,31,5,0.10811,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,20,        if (this.wanted == null) {,1,1,0,1,3,2,0,0,0,5,26,4,0.10526,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,43,"            return ""\"""";",0,0,0,0,0,1,0,0,1,2,12,6,0.0625,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,15,    public Equals(Object wanted) {,2,0,0,1,3,1,0,1,1,6,30,2,0.04545,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,16,        this.wanted = wanted;,2,0,0,0,0,1,0,0,1,3,21,4,0.04545,0,0
defect4j,mockito,org/mockito/internal/matchers/Equals,38,17,    },0,0,0,0,1,0,0,0,0,1,1,2,0.04545,0,0
defect4j,mockito,org/mockito/ArgumentMatcher,38,60,public abstract class ArgumentMatcher<T> extends BaseMatcher<T> {,2,0,0,0,1,4,0,2,2,5,65,1,0.04494,0,0
defect4j,mockito,org/mockito/internal/configuration/ClassPathLoader,38,10,public class ClassPathLoader {,1,0,0,0,1,2,0,0,1,4,30,1,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,38,11,public class ThreadSafeMockingProgress implements MockingProgress {,1,0,0,0,1,3,0,1,1,5,67,1,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,38,13,    private static ThreadLocal<MockingProgress> mockingProgress = new ThreadLocal<MockingProgress>();,1,0,0,1,2,3,0,4,3,6,97,2,0.04,0,0
defect4j,mockito,org/mockito/internal/debugging/DebuggingInfo,38,15,public class DebuggingInfo {,1,0,0,0,1,2,0,0,1,4,28,1,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,38,16,public class MockingProgressImpl implements MockingProgress {,1,0,0,0,1,3,0,1,1,5,61,1,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,38,16,        if (mockingProgress.get() == null) {,0,1,0,2,5,1,2,0,0,5,36,4,0.04,0,0
defect4j,mockito,org/mockito/internal/debugging/DebuggingInfo,38,17,    private final List<Invocation> unusedStubs = new LinkedList<Invocation>();,1,0,0,1,2,3,0,4,3,6,74,2,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/ThreadSafeMockingProgress,38,17,            mockingProgress.set(new MockingProgressImpl());,0,0,0,2,4,1,2,1,1,6,47,7,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,38,18,    private final Reporter reporter = new Reporter();,1,0,0,1,2,3,0,2,3,6,49,2,0.04,0,0
defect4j,mockito,org/mockito/internal/configuration/ClassPathLoader,38,18,        Class configClass = null;,1,0,0,0,0,0,0,1,0,2,25,4,0.04,0,0
defect4j,mockito,org/mockito/internal/debugging/DebuggingInfo,38,18,    private final List<InvocationMatcher> unstubbedInvocations = new LinkedList<InvocationMatcher>();,1,0,0,1,2,3,0,4,3,6,97,2,0.04,0,0
defect4j,mockito,org/mockito/internal/progress/MockingProgressImpl,38,19,    private final ArgumentMatcherStorage argumentMatcherStorage = new ArgumentMatcherStorageImpl();,1,0,0,1,2,3,0,2,3,6,95,2,0.04,0,0
defect4j,mockito,org/mockito/internal/configuration/GlobalConfiguration,38,19,    private static ThreadLocal<IMockitoConfiguration> globalConfiguration = new ThreadLocal<IMockitoConfiguration>();,1,0,0,1,2,3,0,4,3,6,113,2,0.04,0,0
