dataset,project,path,version,codeLine,statement,varTotal,optTotal,array,bracketDepth,bracketTotal,keywordTotal,methodTotal,typeTotal,logic,lengthEle,lengthWord,depth,suspicious,accuracy,miss_line,predict
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,10,24,        synchronized (invocations) {,2,0,0,1,3,0,0,0,0,2,28,4,0.00155,0,0,-1
defect4j,mockito,org/mockito/internal/verification/DefaultRegisteredInvocations,10,27,    },2,0,0,0,1,0,6,0,0,8,1,3,0.00155,0,0,-1
defect4j,mockito,org/mockito/internal/stubbing/InvocationContainerImpl,10,41,        this.invocationForStubbing = invocation;,4,0,0,0,0,0,0,0,0,5,40,4,0.00154,0,0,-1
defect4j,mockito,org/mockito/internal/handler/MockHandlerImpl,10,64,        mockingProgress.validateState();,2,0,0,1,2,1,0,2,0,5,32,1,0.00153,0,0,-1
defect4j,mockito,org/mockito/internal/util/MockUtil,11,69,        return isMockitoMock(mock) && getMockSettings(mock).getSpiedInstance() != null;,0,2,0,3,6,1,10,0,0,14,79,4,0.00816,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/injection/scanner/MockScanner,11,86,        return mockUtil.isMock(instance),0,0,0,1,2,1,6,0,0,6,32,6,0.00765,0,0,-1
defect4j,mockito,org/mockito/internal/creation/CglibMockMaker,11,42,            return null;,12,4,0,0,0,1,4,2,0,23,12,3,0.0075,0,0,-1
defect4j,mockito,org/mockito/internal/creation/DelegatingMethod,11,12,public class DelegatingMethod implements MockitoMethod {,10,0,0,0,1,2,0,8,0,20,56,1,0.00593,0,0,-1
defect4j,mockito,org/mockito/internal/creation/DelegatingMethod,11,16,    public DelegatingMethod(Method method) {,4,0,0,1,3,1,0,2,0,7,40,2,0.00593,0,0,-1
defect4j,mockito,org/mockito/internal/creation/DelegatingMethod,11,17,"        assert method != null : ""Method cannot be null"";",2,1,0,0,0,0,0,0,0,4,48,4,0.00593,0,0,-1
defect4j,mockito,org/mockito/internal/creation/DelegatingMethod,11,18,        this.method = method;,2,0,0,0,0,0,4,0,0,6,21,7,0.00593,0,0,-1
defect4j,mockito,org/mockito/internal/creation/CglibMockMaker,11,41,        if (!(mock instanceof Factory)) {,2,0,0,2,5,0,0,2,0,5,33,4,0.00531,0,0,-1
defect4j,mockito,org/mockito/internal/util/MockUtil,11,73,        return mockMaker.getHandler(mock) != null;,0,0,0,1,2,1,2,0,0,2,42,6,0.00531,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/SpyAnnotationEngine,11,49,            if (field.isAnnotationPresent(Spy.class) && !field.isAnnotationPresent(InjectMocks.class)) {,0,1,0,3,7,0,8,4,0,14,92,6,0.00517,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/injection/scanner/InjectMocksScanner,11,52,            if (null != field.getAnnotation(InjectMocks.class)) {,0,1,0,2,5,0,4,2,0,7,53,6,0.00517,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/injection/scanner/MockScanner,11,62,            if (mockInstance != null) {,4,1,0,1,3,0,0,4,0,9,27,3,0.00517,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/DefaultAnnotationEngine,11,64,            boolean alreadyAssigned = false;,2,0,0,0,0,0,0,0,0,3,32,7,0.00517,0,0,-1
defect4j,mockito,org/mockito/internal/configuration/injection/scanner/MockScanner,11,80,        return null != field.getAnnotation(Spy.class),0,0,0,1,2,1,4,4,0,8,45,5,0.00517,0,0,-1
defect4j,mockito,org/mockito/MockitoAnnotations,11,115,"            processAnnotationDeprecatedWay(annotationEngine, testClass, field);",2,0,0,1,2,0,8,0,0,11,67,3,0.00517,0,0,-1
defect4j,mockito,org/mockito/MockitoAnnotations,11,121,        boolean alreadyAssigned = false;,4,0,0,0,0,0,6,2,0,13,32,3,0.00517,0,0,-1
defect4j,mockito,org/mockito/MockitoAnnotations,11,122,        for(Annotation annotation : field.getAnnotations()) {,8,0,0,2,5,1,4,4,0,17,53,1,0.00517,0,0,-1
defect4j,mockito,org/mockito/internal/util/reflection/FieldReader,11,15,    final AccessibilityChanger changer = new AccessibilityChanger();,4,0,0,1,2,2,0,10,0,16,64,1,0.00508,0,0,-1
defect4j,mockito,org/mockito/internal/util/reflection/FieldReader,11,17,"    public FieldReader(Object target, Field field) {",6,0,0,1,3,1,0,4,0,11,48,2,0.00508,0,0,-1
defect4j,mockito,org/mockito/internal/util/reflection/FieldReader,11,18,        this.target = target;,4,0,0,0,0,0,0,0,0,5,21,4,0.00508,0,0,-1
defect4j,mockito,org/mockito/internal/util/reflection/FieldReader,11,19,        this.field = field;,4,0,0,0,0,0,0,0,0,5,19,4,0.00508,0,0,-1
defect4j,mockito,org/mockito/internal/util/reflection/AccessibilityChanger,11,9,public class AccessibilityChanger {,2,0,0,0,1,1,0,0,0,3,35,1,0.00504,0,0,-1
