project_path,version,lines,statement,suspicious,faulty,predict,miss_line
org/joda/time/chrono/BaseChronology,11,255,        int size = period.size();,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,256,        int[] values = new int[size];,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,257,        if (startInstant != endInstant) {,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,258,            for (int i = 0; i < size; i++) {,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,259,                DurationField field = period.getFieldType(i).getField(this);,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,260,"                int value = field.getDifference(endInstant, startInstant);",1.0,0,,0
org/joda/time/chrono/BaseChronology,11,261,"                startInstant = field.add(startInstant, value);",1.0,0,,0
org/joda/time/chrono/BaseChronology,11,262,                values[i] = value;,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,265,        return values;,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,276,        int size = period.size();,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,277,        int[] values = new int[size];,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,278,        if (duration != 0) {,1.0,0,,0
org/joda/time/chrono/BaseChronology,11,289,        return values;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,225,    public DateTimeZoneBuilder() {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,226,        iRuleSets = new ArrayList<RuleSet>(10);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,227,    },1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,252,        if (iRuleSets.size() > 0) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,258,        iRuleSets.add(new RuleSet());,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,259,        return this;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,268,        getLastRuleSet().setStandardOffset(standardOffset);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,269,        return this;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,309,        if (fromYear <= toYear) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,310,            OfYear ofYear = new OfYear,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,312,"            Recurrence recurrence = new Recurrence(ofYear, nameKey, saveMillis);",1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,313,"            Rule rule = new Rule(recurrence, fromYear, toYear);",1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,314,            getLastRuleSet().addRule(rule);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,316,        return this;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,320,        if (iRuleSets.size() == 0) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,323,        return iRuleSets.get(iRuleSets.size() - 1);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,333,        if (id == null) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,339,        ArrayList<Transition> transitions = new ArrayList<Transition>();,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,343,        DSTZone tailZone = null;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,345,        long millis = Long.MIN_VALUE;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,346,        int saveMillis = 0;,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,348,        int ruleSetCount = iRuleSets.size();,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,349,        for (int i=0; i<ruleSetCount; i++) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,350,            RuleSet rs = iRuleSets.get(i);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,351,            Transition next = rs.firstTransition(millis);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,352,            if (next == null) {,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,355,"            addTransition(transitions, next);",1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,356,            millis = next.getMillis();,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,357,            saveMillis = next.getSaveMillis();,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,360,            rs = new RuleSet(rs);,1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,362,"            while ((next = rs.nextTransition(millis, saveMillis)) != null) {",1.0,0,,0
org/joda/time/tz/DateTimeZoneBuilder,11,363,"                if (addTransition(transitions, next)) {",1.0,0,,0
